****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.75     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
       165    25.492     0.319     0.000     0.241    -3.198    15.227    25.492  1024.345  3922.736    31.720    10.450     0.020    11.690
       166    26.002     0.323     0.000     0.245    -3.212    15.453    26.002  1024.337  3845.791    31.710    10.448     0.020    11.946
       167    26.523     0.327     0.000     0.249    -3.225    15.684    26.523  1024.330  3770.355    31.700    10.446     0.020    12.208
       168    27.053     0.332     0.000     0.254    -3.239    15.917    27.053  1024.322  3696.401    31.690    10.444     0.020    12.476
       169    27.595     0.336     0.000     0.259    -3.253    16.154    27.595  1024.315  3623.897    31.681    10.442     0.020    12.750
       170    28.147     0.340     0.000     0.263    -3.267    16.395    28.147  1024.308  3552.816    31.671    10.441     0.020    13.031
       171    28.710     0.344     0.000     0.268    -3.281    16.639    28.710  1024.301  3483.129    31.662    10.439     0.020    13.318
       172    29.284     0.349     0.000     0.273    -3.296    16.886    29.284  1024.295  3414.810    31.653    10.437     0.020    13.612
       173    29.870     0.353     0.000     0.278    -3.310    17.137    29.870  1024.288  3347.832    31.644    10.435     0.020    13.913
       174    30.468     0.357     0.000     0.282    -3.325    17.392    30.468  1024.282  3282.168    31.635    10.433     0.020    14.221
       175    31.077     0.362     0.000     0.287    -3.339    17.651    31.077  1024.275  3217.792    31.627    10.430     0.020    14.536
       176    31.699     0.367     0.000     0.293    -3.354    17.913    31.699  1024.269  3154.679    31.618    10.428     0.020    14.858
       177    32.333     0.371     0.000     0.298    -3.369    18.179    32.333  1024.263  3092.804    31.610    10.426     0.020    15.189
       178    32.980     0.376     0.000     0.303    -3.384    18.449    32.980  1024.257  3032.144    31.602    10.424     0.020    15.527
       179    33.640     0.381     0.000     0.308    -3.400    18.723    33.640  1024.251  2972.673    31.594    10.422     0.020    15.873
       180    34.313     0.386     0.000     0.314    -3.415    19.002    34.313  1024.246  2914.369    31.587    10.420     0.020    16.228
       181    34.999     0.390     0.000     0.319    -3.430    19.284    34.999  1024.240  2857.209    31.579    10.417     0.020    16.590
       182    35.699     0.395     0.000     0.325    -3.446    19.570    35.699  1024.235  2801.171    31.572    10.415     0.020    16.962
       183    36.414     0.400     0.000     0.330    -3.462    19.860    36.414  1024.230  2746.232    31.564    10.413     0.020    17.343
       184    37.142     0.405     0.000     0.336    -3.477    20.155    37.142  1024.225  2692.371    31.557    10.411     0.020    17.733
       185    37.885     0.411     0.000     0.342    -3.493    20.454    37.885  1024.219  2639.566    31.550    10.408     0.020    18.132
       186    38.643     0.416     0.000     0.348    -3.510    20.757    38.643  1024.215  2587.797    31.543    10.406     0.020    18.541
       187    39.416     0.421     0.000     0.354    -3.526    21.065    39.416  1024.210  2537.044    31.536    10.403     0.020    18.960
       188    40.204     0.426     0.000     0.360    -3.542    21.378    40.204  1024.205  2487.287    31.530    10.401     0.020    19.389
       189    41.009     0.432     0.000     0.366    -3.559    21.695    41.009  1024.200  2438.506    31.523    10.399     0.020    19.829
       190    41.829     0.437     0.000     0.372    -3.575    22.016    41.829  1024.196  2390.681    31.517    10.396     0.020    20.279
       191    42.666     0.443     0.000     0.379    -3.592    22.343    42.666  1024.191  2343.795    31.511    10.394     0.020    20.741
       192    43.519     0.449     0.000     0.385    -3.609    22.674    43.519  1024.187  2297.829    31.505    10.391     0.020    21.214
       193    44.390     0.454     0.000     0.392    -3.626    23.010    44.390  1024.183  2252.764    31.499    10.388     0.020    21.698
       194    45.278     0.460     0.000     0.398    -3.644    23.350    45.278  1024.179  2208.583    31.493    10.386     0.020    22.195
       195    46.184     0.466     0.000     0.405    -3.661    23.696    46.184  1024.175  2165.269    31.487    10.383     0.020    22.704
       196    47.107     0.472     0.000     0.412    -3.678    24.047    47.107  1024.171  2122.805    31.482    10.381     0.020    23.227
       197    48.050     0.478     0.000     0.419    -3.696    24.403    48.050  1024.167  2081.173    31.476    10.378     0.020    23.762
