****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.25     15.00     45.00     90.00     25.00      0.50     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
---------------------- Local maximum rise or fall --------------------
       100     4.751     0.123     0.000     0.043    -2.255     3.594     4.751  1026.157 21049.134    34.062    10.496     0.020     2.375
       101     4.846     0.124     0.000     0.044    -2.259     3.653     4.846  1026.112 20635.498    34.004    10.498     0.020     2.423
       102     4.943     0.126     0.000     0.045    -2.264     3.711     4.943  1026.068 20230.007    33.948    10.500     0.020     2.472
       103     5.042     0.127     0.000     0.046    -2.268     3.771     5.042  1026.025 19832.502    33.892    10.502     0.020     2.521
       104     5.143     0.129     0.000     0.047    -2.273     3.832     5.143  1025.982 19442.824    33.838    10.503     0.020     2.572
       105     5.246     0.130     0.000     0.048    -2.278     3.893     5.246  1025.940 19060.818    33.785    10.505     0.020     2.623
       106     5.352     0.132     0.000     0.049    -2.282     3.955     5.352  1025.900 18686.332    33.733    10.507     0.020     2.676
       107     5.459     0.133     0.000     0.050    -2.287     4.018     5.459  1025.860 18319.219    33.682    10.509     0.020     2.729
       108     5.568     0.135     0.000     0.051    -2.292     4.082     5.568  1025.820 17959.332    33.632    10.510     0.020     2.784
       109     5.680     0.136     0.000     0.052    -2.297     4.146     5.680  1025.782 17606.528    33.583    10.512     0.020     2.840
       110     5.794     0.138     0.000     0.053    -2.302     4.212     5.794  1025.744 17260.668    33.534    10.513     0.020     2.897
       111     5.910     0.139     0.000     0.054    -2.307     4.278     5.910  1025.707 16921.614    33.487    10.515     0.020     2.955
       112     6.028     0.141     0.000     0.056    -2.312     4.346     6.028  1025.671 16589.232    33.441    10.516     0.020     3.014
       113     6.149     0.143     0.000     0.057    -2.317     4.414     6.149  1025.636 16263.391    33.396    10.518     0.020     3.074
       114     6.272     0.145     0.000     0.058    -2.322     4.483     6.272  1025.601 15943.960    33.351    10.519     0.020     3.136
       115     6.398     0.146     0.000     0.059    -2.327     4.553     6.398  1025.567 15630.815    33.308    10.520     0.020     3.199
       116     6.526     0.148     0.000     0.060    -2.333     4.624     6.526  1025.533 15323.829    33.265    10.521     0.020     3.263
       117     6.657     0.150     0.000     0.062    -2.338     4.696     6.657  1025.501 15022.883    33.223    10.522     0.020     3.328
       118     6.790     0.152     0.000     0.063    -2.343     4.769     6.790  1025.469 14727.856    33.182    10.523     0.020     3.395
       119     6.926     0.153     0.000     0.064    -2.349     4.843     6.926  1025.437 14438.632    33.142    10.525     0.020     3.463
       120     7.065     0.155     0.000     0.066    -2.354     4.919     7.065  1025.406 14155.097    33.103    10.526     0.020     3.532
       121     7.206     0.157     0.000     0.067    -2.359     4.995     7.206  1025.376 13877.138    33.064    10.526     0.020     3.603
       122     7.350     0.159     0.000     0.068    -2.365     5.072     7.350  1025.347 13604.645    33.026    10.527     0.020     3.675
       123     7.498     0.161     0.000     0.070    -2.371     5.150     7.498  1025.318 13337.510    32.989    10.528     0.020     3.749
       124     7.648     0.163     0.000     0.071    -2.376     5.229     7.648  1025.289 13075.628    32.953    10.529     0.020     3.824
       125     7.801     0.165     0.000     0.073    -2.382     5.310     7.801  1025.262 12818.896    32.917    10.530     0.020     3.900
       126     7.957     0.167     0.000     0.074    -2.388     5.391     7.957  1025.234 12567.211    32.883    10.530     0.020     3.979
       127     8.117     0.169     0.000     0.076    -2.393     5.474     8.117  1025.208 12320.474    32.848    10.531     0.020     4.058
       128     8.279     0.171     0.000     0.077    -2.399     5.558     8.279  1025.181 12078.587    32.815    10.532     0.020     4.140
       129     8.445     0.173     0.000     0.079    -2.405     5.643     8.445  1025.156 11841.456    32.782    10.532     0.020     4.222
       130     8.614     0.175     0.000     0.080    -2.411     5.729     8.614  1025.131 11608.986    32.750    10.533     0.020     4.307
       131     8.787     0.177     0.000     0.082    -2.417     5.817     8.787  1025.106 11381.086    32.718    10.533     0.020     4.393
