****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      1.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        84     5.291     0.569     0.000     0.786    -2.068     2.645     0.020    10.640    31.802 18901.019  1024.376     5.291     9.759
        85     5.397     0.576     0.000     0.799    -2.090     2.698     0.020    10.640    31.788 18530.218  1024.365     5.397    10.006
        86     5.505     0.584     0.000     0.811    -2.112     2.752     0.020    10.640    31.775 18166.696  1024.355     5.505    10.256
        87     5.615     0.592     0.000     0.824    -2.135     2.807     0.020    10.640    31.762 17810.310  1024.344     5.615    10.511
        88     5.727     0.600     0.000     0.836    -2.158     2.864     0.020    10.640    31.749 17460.920  1024.335     5.727    10.770
        89     5.842     0.608     0.000     0.849    -2.181     2.921     0.020    10.640    31.736 17118.387  1024.325     5.842    11.034
        90     5.959     0.617     0.000     0.862    -2.204     2.979     0.020    10.640    31.724 16782.579  1024.316     5.959    11.302
        91     6.078     0.625     0.000     0.875    -2.228     3.039     0.020    10.639    31.712 16453.361  1024.306     6.078    11.575
        92     6.199     0.634     0.000     0.888    -2.251     3.100     0.020    10.639    31.701 16130.606  1024.297     6.199    11.852
        93     6.323     0.642     0.000     0.901    -2.275     3.162     0.020    10.638    31.689 15814.185  1024.289     6.323    12.134
        94     6.450     0.651     0.000     0.914    -2.300     3.225     0.020    10.637    31.678 15503.975  1024.280     6.450    12.422
        95     6.579     0.660     0.000     0.927    -2.324     3.290     0.020    10.637    31.668 15199.853  1024.272     6.579    12.714
        96     6.711     0.669     0.000     0.940    -2.349     3.355     0.020    10.636    31.657 14901.700  1024.264     6.711    13.011
        97     6.845     0.678     0.000     0.954    -2.374     3.422     0.020    10.634    31.647 14609.399  1024.256     6.845    13.313
        98     6.982     0.687     0.000     0.967    -2.400     3.491     0.020    10.633    31.637 14322.834  1024.249     6.982    13.620
        99     7.122     0.696     0.000     0.980    -2.425     3.561     0.020    10.632    31.627 14041.893  1024.241     7.122    13.932
       100     7.264     0.706     0.000     0.994    -2.451     3.632     0.020    10.631    31.617 13766.465  1024.234     7.264    14.250
       101     7.409     0.715     0.000     1.008    -2.478     3.705     0.020    10.629    31.608 13496.443  1024.227     7.409    14.573
       102     7.558     0.725     0.000     1.021    -2.504     3.779     0.020    10.627    31.599 13231.719  1024.220     7.558    14.902
       103     7.709     0.735     0.000     1.035    -2.531     3.854     0.020    10.626    31.590 12972.190  1024.214     7.709    15.237
       104     7.863     0.745     0.000     1.049    -2.558     3.932     0.020    10.624    31.582 12717.754  1024.207     7.863    15.577
       105     8.020     0.755     0.000     1.063    -2.585     4.010     0.020    10.622    31.573 12468.311  1024.201     8.020    15.923
       106     8.181     0.766     0.000     1.077    -2.613     4.090     0.020    10.620    31.565 12223.763  1024.195     8.181    16.275
       107     8.344     0.776     0.000     1.092    -2.641     4.172     0.020    10.618    31.557 11984.013  1024.189     8.344    16.633
       108     8.511     0.787     0.000     1.106    -2.669     4.256     0.020    10.615    31.549 11748.968  1024.184     8.511    16.997
       109     8.682     0.798     0.000     1.120    -2.698     4.341     0.020    10.613    31.542 11518.534  1024.178     8.682    17.368
       110     8.855     0.809     0.000     1.135    -2.726     4.428     0.020    10.611    31.534 11292.622  1024.173     8.855    17.745
       111     9.032     0.820     0.000     1.150    -2.755     4.516     0.020    10.608    31.527 11071.143  1024.168     9.032    18.128
       112     9.213     0.831     0.000     1.164    -2.785     4.607     0.020    10.605    31.520 10854.009  1024.163     9.213    18.518
       113     9.397     0.843     0.000     1.179    -2.814     4.699     0.020    10.603    31.513 10641.136  1024.158     9.397    18.915
       114     9.585     0.855     0.000     1.194    -2.844     4.793     0.020    10.600    31.507 10432.439  1024.153     9.585    19.319
       115     9.777     0.867     0.000     1.210    -2.875     4.889     0.020    10.597    31.500 10227.837  1024.149     9.777    19.730
       116     9.973     0.879     0.000     1.225    -2.905     4.986     0.020    10.594    31.494 10027.249  1024.145     9.973    20.148
       117    10.172     0.891     0.000     1.240    -2.936     5.086     0.020    10.591    31.488  9830.597  1024.141    10.172    20.573
       118    10.376     0.904     0.000     1.256    -2.967     5.188     0.020    10.587    31.482  9637.803  1024.137    10.376    21.007
       119    10.583     0.916     0.000     1.271    -2.998     5.292     0.020    10.584    31.477  9448.791  1024.133    10.583    21.447
       120    10.795     0.929     0.000     1.287    -3.030     5.398     0.020    10.581    31.471  9263.487  1024.129    10.795    21.896
       121    11.011     0.943     0.000     1.303    -3.062     5.506     0.020    10.577    31.466  9081.819  1024.126    11.011    22.353
       122    11.231     0.956     0.000     1.319    -3.094     5.616     0.020    10.574    31.461  8903.714  1024.122    11.231    22.817
       123    11.456     0.970     0.000     1.336    -3.127     5.728     0.020    10.570    31.456  8729.103  1024.119    11.456    23.290
       124    11.685     0.984     0.000     1.352    -3.159     5.843     0.020    10.566    31.451  8557.917  1024.116    11.685    23.772
       125    11.919     0.998     0.000     1.369    -3.192     5.959     0.020    10.562    31.446  8390.088  1024.112    11.919    24.263
       126    12.157     1.012     0.000     1.385    -3.226     6.079     0.020    10.558    31.441  8225.552  1024.109    12.157    24.762
       127    12.400     1.027     0.000     1.402    -3.260     6.200     0.020    10.554    31.436  8064.243  1024.106    12.400    25.270
       128    12.648     1.041     0.000     1.419    -3.294     6.324     0.020    10.550    31.432  7906.098  1024.103    12.648    25.788
       129    12.901     1.056     0.000     1.437    -3.328     6.451     0.020    10.546    31.427  7751.056  1024.101    12.901    26.315
       130    13.160     1.071     0.000     1.454    -3.363     6.580     0.020    10.542    31.423  7599.054  1024.098    13.160    26.851
       131    13.423     1.087     0.000     1.472    -3.398     6.711     0.020    10.538    31.418  7450.033  1024.095    13.423    27.397
       132    13.691     1.102     0.000     1.490    -3.433     6.846     0.020    10.533    31.414  7303.936  1024.093    13.691    27.953
       133    13.965     1.118     0.000     1.508    -3.469     6.983     0.020    10.529    31.410  7160.704  1024.090    13.965    28.518
       134    14.244     1.134     0.000     1.526    -3.504     7.122     0.020    10.524    31.406  7020.281  1024.088    14.244    29.094
       135    14.529     1.150     0.000     1.544    -3.541     7.265     0.020    10.520    31.402  6882.613  1024.085    14.529    29.680
       136    14.820     1.167     0.000     1.563    -3.577     7.410     0.020    10.515    31.398  6747.645  1024.083    14.820    30.277
       137    15.116     1.183     0.000     1.582    -3.614     7.558     0.020    10.510    31.394  6615.324  1024.081    15.116    30.884
       138    15.419     1.200     0.000     1.600    -3.651     7.709     0.020    10.505    31.390  6485.598  1024.079    15.419    31.501
       139    15.727     1.218     0.000     1.620    -3.689     7.864     0.020    10.500    31.386  6358.417  1024.077    15.727    32.130
       140    16.042     1.235     0.000     1.639    -3.726     8.021     0.020    10.495    31.383  6233.730  1024.075    16.042    32.770
       141    16.363     1.253     0.000     1.659    -3.765     8.181     0.020    10.490    31.379  6111.488  1024.073    16.363    33.422
       142    16.690     1.271     0.000     1.678    -3.803     8.345     0.020    10.485    31.375  5991.644  1024.071    16.690    34.085
       143    17.024     1.290     0.000     1.698    -3.842     8.512     0.020    10.480    31.372  5874.151  1024.069    17.024    34.759
       144    17.364     1.308     0.000     1.719    -3.881     8.682     0.020    10.475    31.369  5758.961  1024.067    17.364    35.446
       145    17.712     1.327     0.000     1.739    -3.920     8.856     0.020    10.469    31.365  5646.032  1024.066    17.712    36.145
       146    18.066     1.346     0.000     1.760    -3.960     9.033     0.020    10.464    31.362  5535.316  1024.064    18.066    36.857
       147    18.427     1.366     0.000     1.781    -4.000     9.214     0.020    10.458    31.359  5426.773  1024.063    18.427    37.581
       148    18.796     1.386     0.000     1.802    -4.040     9.398     0.020    10.453    31.356  5320.358  1024.061    18.796    38.317
       149    19.172     1.406     0.000     1.824    -4.080     9.586     0.020    10.447    31.353  5216.030  1024.060    19.172    39.068
       150    19.555     1.427     0.000     1.845    -4.121     9.778     0.020    10.441    31.350  5113.748  1024.058    19.555    39.831
       151    19.946     1.448     0.000     1.867    -4.162     9.973     0.020    10.436    31.347  5013.472  1024.057    19.946    40.608
       152    20.345     1.469     0.000     1.889    -4.204    10.173     0.020    10.430    31.344  4915.162  1024.056    20.345    41.399
       153    20.752     1.491     0.000     1.912    -4.245    10.376     0.020    10.424    31.341  4818.781  1024.055    20.752    42.204
       154    21.167     1.513     0.000     1.935    -4.287    10.584     0.020    10.418    31.338  4724.290  1024.053    21.167    43.023
