****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m) (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
        63     3.421     0.256     0.271     0.153   -10.693  2431.875  1427.685     9.466    18.905    11.477  3548.248  1100.636
        64     3.489     0.261     0.278     0.157   -10.684  2419.485  1431.064     9.444    18.535    11.264  3341.974  1049.102
        65     3.558     0.266     0.286     0.161   -10.676  2407.338  1434.376     9.422    18.174    11.055  3148.147  1000.001
        66     3.629     0.272     0.294     0.165   -10.667  2395.430  1437.624     9.401    17.821    10.850  2966.043   953.233
        67     3.701     0.277     0.302     0.169   -10.658  2383.755  1440.808     9.380    17.477    10.650  2794.968   908.698
        68     3.774     0.282     0.310     0.174   -10.649  2372.308  1443.929     9.360    17.140    10.454  2634.267   866.299
        69     3.849     0.288     0.318     0.178   -10.640  2361.087  1446.989     9.341    16.812    10.263  2483.313   825.942
        70     3.926     0.293     0.326     0.183   -10.631  2350.085  1449.989     9.322    16.491    10.075  2341.515   787.533
        71     4.004     0.299     0.335     0.187   -10.621  2339.299  1452.931     9.303    16.178     9.892  2208.314   750.983
        72     4.083     0.305     0.343     0.192   -10.612  2328.724  1455.815     9.285    15.873     9.713  2083.183   716.206
        73     4.164     0.311     0.352     0.197   -10.602  2318.357  1458.642     9.267    15.575     9.538  1965.624   683.119
        74     4.247     0.317     0.361     0.202   -10.592  2308.193  1461.413     9.249    15.284     9.367  1855.168   651.639
        75     4.332     0.323     0.370     0.207   -10.582  2298.229  1464.131     9.232    15.000     9.199  1751.375   621.692
        76     4.418     0.329     0.380     0.212   -10.571  2288.460  1466.795     9.215    14.724     9.036  1653.830   593.202
        77     4.506     0.335     0.389     0.217   -10.561  2278.882  1469.407     9.199    14.453     8.876  1562.146     0.000
        78     4.595     0.342     0.399     0.222   -10.550  2269.492  1471.967     9.183    14.190     8.720  1475.956     0.000
        79     4.687     0.349     0.409     0.227   -10.539  2260.286  1474.478     9.167    13.933     8.568  1394.919     0.000
        80     4.780     0.355     0.419     0.233   -10.528  2251.261  1476.939     9.152    13.682     8.419  1318.712     0.000
        81     4.875     0.362     0.429     0.238   -10.517  2242.413  1479.352     9.137    13.438     8.273  1247.036     0.000
        82     4.972     0.369     0.440     0.244   -10.505  2233.738  1481.718     9.122    13.199     8.131  1179.607     0.000
        83     5.071     0.376     0.450     0.249   -10.493  2225.234  1484.037     9.107    12.966     7.993  1116.162     0.000
        84     5.172     0.383     0.461     0.255   -10.481  2216.896  1486.311     9.093    12.739     7.857  1056.452     0.000
        85     5.275     0.391     0.472     0.261   -10.469  2208.721  1488.540     9.079    12.518     7.725  1000.246     0.000
        86     5.380     0.398     0.483     0.267   -10.457  2200.707  1490.725     9.065    12.302     7.595   947.326     0.000
        87     5.487     0.406     0.495     0.273   -10.444  2192.850  1492.868     9.051    12.091     7.469   897.490     0.000
        88     5.597     0.414     0.506     0.279   -10.431  2185.147  1494.969     9.038    11.885     7.346   850.546     0.000
        89     5.708     0.422     0.518     0.285   -10.418  2177.595  1497.028     9.025    11.685     7.225   806.317     0.000
        90     5.822     0.430     0.530     0.292   -10.405  2170.191  1499.047     9.012    11.489     7.107   764.635     0.000
        91     5.938     0.438     0.542     0.298   -10.392  2162.933  1501.027     9.000    11.298     6.993   725.344     0.000
        92     6.056     0.446     0.555     0.305   -10.378  2155.816  1502.967     8.987    11.111     6.880   688.298     0.000
        93     6.177     0.455     0.567     0.311   -10.364  2148.840  1504.870     8.975    10.930     6.771   653.359     0.000
        94     6.300     0.463     0.580     0.318   -10.350  2142.000  1506.735     8.963    10.752     6.664   620.400     0.000
        95     6.425     0.472     0.594     0.325   -10.335  2135.294  1508.564     8.951    10.579     6.559   589.301     0.000
        96     6.553     0.481     0.607     0.332   -10.320  2128.719  1510.357     8.940    10.410     6.457   559.948     0.000
        97     6.684     0.490     0.620     0.339   -10.305  2122.274  1512.115     8.928    10.245     6.357   532.237     0.000
        98     6.817     0.499     0.634     0.346   -10.290  2115.955  1513.838     8.917    10.084     6.259   506.068     0.000
        99     6.953     0.509     0.648     0.353   -10.275  2109.760  1515.527     8.906     9.927     6.164   481.350     0.000
       100     7.092     0.518     0.663     0.360   -10.259  2103.686  1517.184     8.895     9.773     6.071   457.996     0.000
       101     7.233     0.528     0.677     0.368   -10.243  2097.731  1518.807     8.884     9.624     5.980   435.924     0.000
       102     7.377     0.538     0.692     0.375   -10.226  2091.893  1520.399     8.874     9.478     5.892   415.058     0.000
       103     7.524     0.548     0.707     0.383   -10.210  2086.170  1521.960     8.863     9.335     5.805   395.328     0.000
       104     7.674     0.558     0.723     0.391   -10.193  2080.559  1523.490     8.853     9.196     5.720   376.665     0.000
       105     7.827     0.569     0.738     0.399   -10.176  2075.058  1524.991     8.843     9.060     5.637   359.009     0.000
       106     7.983     0.579     0.754     0.407   -10.158  2069.664  1526.461     8.833     8.927     5.556   342.299     0.000
       107     8.143     0.590     0.770     0.415   -10.140  2064.377  1527.903     8.823     8.797     5.477   326.481     0.000
       108     8.305     0.601     0.787     0.423   -10.122  2059.193  1529.317     8.814     8.671     5.400   311.502     0.000
       109     8.471     0.612     0.803     0.432   -10.104  2054.111  1530.703     8.804     8.547     5.325   297.315     0.000
       110     8.640     0.624     0.820     0.440   -10.085  2049.128  1532.062     8.795     8.427     5.251   283.874     0.000
       111     8.812     0.635     0.838     0.449   -10.066  2044.243  1533.394     8.786     8.309     5.179   271.136     0.000
       112     8.988     0.647     0.855     0.457   -10.047  2039.454  1534.700     8.777     8.194     5.109   259.061     0.000
       113     9.167     0.659     0.873     0.466   -10.027  2034.759  1535.980     8.768     8.081     5.040   247.611     0.000
       114     9.350     0.671     0.891     0.475   -10.007  2030.156  1537.235     8.759     7.971     4.973   236.751     0.000
       115     9.536     0.683     0.910     0.484    -9.987  2025.643  1538.466     8.750     7.864     4.907   226.448     0.000
       116     9.727     0.696     0.928     0.493    -9.966  2021.219  1539.673     8.742     7.759     4.843   216.670     0.000
       117     9.921     0.708     0.948     0.502    -9.945  2016.881  1540.856     8.733     7.657     4.780   207.387     0.000
       118    10.119     0.721     0.967     0.512    -9.923  2012.629  1542.015     8.725     7.557     4.719   198.573     0.000
       119    10.321     0.734     0.987     0.521    -9.902  2008.459  1543.152     8.717     7.459     4.659   190.201     0.000
       120    10.527     0.747     1.007     0.531    -9.879  2004.372  1544.267     8.709     7.364     4.600   182.248     0.000
       121    10.737     0.761     1.027     0.541    -9.857  2000.365  1545.360     8.701     7.271     4.543   174.689     0.000
       122    10.951     0.775     1.047     0.550    -9.834  1996.436  1546.431     8.693     7.180     4.487   167.503     0.000
       123    11.169     0.789     1.068     0.560    -9.811  1992.584  1547.481     8.685     7.091     4.432   160.671     0.000
       124    11.392     0.803     1.090     0.571    -9.787  1988.808  1548.511     8.678     7.004     4.379   154.172     0.000
       125    11.620     0.817     1.111     0.581    -9.763  1985.106  1549.521     8.670     6.919     4.326   147.989     0.000
       126    11.852     0.832     1.133     0.591    -9.738  1981.476  1550.511     8.663     6.835     4.275   142.104     0.000
       127    12.088     0.846     1.156     0.601    -9.713  1977.918  1551.481     8.656     6.754     4.225   136.503     0.000
       128    12.330     0.861     1.178     0.612    -9.688  1974.429  1552.432     8.649     6.675     4.176   131.169     0.000
       129    12.576     0.877     1.201     0.623    -9.662  1971.009  1553.365     8.642     6.597     4.129   126.089     0.000
       130    12.827     0.892     1.225     0.633    -9.636  1967.656  1554.279     8.635     6.522     4.082   121.249     0.000
       131    13.083     0.908     1.248     0.644    -9.609  1964.369  1555.176     8.628     6.447     4.036   116.636     0.000
       132    13.344     0.923     1.272     0.655    -9.582  1961.146  1556.055     8.621     6.375     3.991   112.239     0.000
       133    13.610     0.940     1.297     0.666    -9.555  1957.986  1556.917     8.614     6.304     3.948   108.047     0.000
       134    13.882     0.956     1.321     0.678    -9.527  1954.888  1557.761     8.608     6.235     3.905   104.048     0.000
       135    14.159     0.972     1.346     0.689    -9.499  1951.851  1558.589     8.601     6.167     3.863   100.233     0.000
       136    14.442     0.989     1.372     0.700    -9.470  1948.874  1559.401     8.595     6.101     3.822    96.592     0.000
       137    14.730     1.006     1.397     0.712    -9.441  1945.955  1560.198     8.589     6.036     3.782    93.117     0.000
       138    15.025     1.024     1.423     0.723    -9.411  1943.093  1560.978     8.583     5.973     3.743    89.799     0.000
       139    15.325     1.041     1.450     0.735    -9.381  1940.287  1561.743     8.577     5.911     3.705    86.629     0.000
       140    15.631     1.059     1.476     0.747    -9.351  1937.536  1562.493     8.571     5.851     3.667    83.602     0.000
       141    15.943     1.077     1.503     0.758    -9.320  1934.840  1563.229     8.565     5.792     3.631    80.708     0.000
       142    16.261     1.095     1.530     0.770    -9.289  1932.196  1563.950     8.559     5.734     3.595    77.943     0.000
       143    16.586     1.114     1.558     0.782    -9.257  1929.604  1564.657     8.553     5.677     3.560    75.299     0.000
       144    16.917     1.132     1.586     0.794    -9.225  1927.062  1565.350     8.548     5.622     3.526    72.770     0.000
       145    17.255     1.151     1.614     0.806    -9.192  1924.571  1566.029     8.542     5.568     3.492    70.351     0.000
       146    17.600     1.170     1.642     0.818    -9.160  1922.128  1566.695     8.537     5.515     3.459    68.036     0.000
       147    17.951     1.190     1.671     0.830    -9.126  1919.734  1567.348     8.531     5.463     3.427    65.821     0.000
       148    18.310     1.210     1.700     0.843    -9.092  1917.386  1567.988     8.526     5.412     3.396    63.699     0.000
       149    18.676     1.230     1.729     0.855    -9.058  1915.084  1568.616     8.521     5.363     3.365    61.668     0.000
       150    19.049     1.250     1.758     0.867    -9.024  1912.828  1569.231     8.515     5.314     3.335    59.723     0.000
       151    19.429     1.270     1.788     0.880    -8.989  1910.615  1569.835     8.510     5.267     3.306    57.858     0.000
       152    19.817     1.291     1.818     0.892    -8.953  1908.447  1570.426     8.505     5.220     3.277    56.072     0.000
       153    20.213     1.312     1.849     0.904    -8.917  1906.320  1571.006     8.500     5.175     3.249    54.359     0.000
       154    20.617     1.334     1.879     0.917    -8.881  1904.235  1571.575     8.496     5.131     3.221    52.717     0.000
       155    21.029     1.355     1.910     0.929    -8.844  1902.192  1572.132     8.491     5.087     3.194    51.142     0.000
       156    21.449     1.377     1.942     0.942    -8.807  1900.188  1572.678     8.486     5.045     3.168    49.631     0.000
       157    21.877     1.399     1.973     0.954    -8.769  1898.223  1573.214     8.482     5.003     3.142    48.181     0.000
       158    22.315     1.422     2.005     0.967    -8.731  1896.297  1573.739     8.477     4.963     3.117    46.789     0.000
       159    22.760     1.444     2.037     0.979    -8.693  1894.409  1574.254     8.473     4.923     3.092    45.453     0.000
       160    23.215     1.467     2.069     0.992    -8.654  1892.558  1574.759     8.468     4.884     3.068    44.170     0.000
       161    23.679     1.490     2.102     1.005    -8.615  1890.743  1575.254     8.464     4.846     3.044    42.937     0.000
       162    24.152     1.514     2.135     1.017    -8.575  1888.964  1575.739     8.459     4.808     3.021    41.753     0.000
       163    24.635     1.538     2.168     1.030    -8.535  1887.220  1576.215     8.455     4.772     2.998    40.615     0.000
       164    25.127     1.562     2.201     1.042    -8.494  1885.509  1576.681     8.451     4.736     2.976    39.521     0.000
       165    25.629     1.586     2.235     1.055    -8.453  1883.833  1577.138     8.447     4.701     2.954    38.469     0.000
       166    26.141     1.611     2.269     1.068    -8.411  1882.189  1577.587     8.443     4.667     2.933    37.458     0.000
       167    26.663     1.636     2.303     1.080    -8.369  1880.577  1578.026     8.439     4.634     2.912    36.485     0.000
       168    27.196     1.661     2.337     1.093    -8.327  1878.997  1578.457     8.435     4.601     2.892    35.548     0.000
       169    27.740     1.687     2.372     1.106    -8.284  1877.448  1578.879     8.431     4.569     2.872    34.647     0.000
       170    28.294     1.713     2.407     1.118    -8.241  1875.930  1579.294     8.428     4.537     2.852    33.780     0.000
       171    28.859     1.739     2.442     1.131    -8.197  1874.441  1579.700     8.424     4.507     2.833    32.945     0.000
       172    29.436     1.765     2.478     1.144    -8.153  1872.981  1580.098     8.420     4.477     2.815    32.140     0.000
       173    30.024     1.792     2.513     1.156    -8.108  1871.550  1580.488     8.417     4.447     2.796    31.365     0.000
       174    30.624     1.819     2.549     1.169    -8.063  1870.147  1580.870     8.413     4.418     2.778    30.619     0.000
       175    31.236     1.847     2.586     1.181    -8.017  1868.772  1581.246     8.410     4.390     2.761    29.899     0.000
       176    31.861     1.874     2.622     1.194    -7.971  1867.424  1581.613     8.406     4.362     2.743    29.206     0.000
       177    32.497     1.902     2.659     1.206    -7.925  1866.102  1581.974     8.403     4.335     2.727    28.537     0.000
       178    33.147     1.931     2.696     1.219    -7.878  1864.805  1582.327     8.399     4.309     2.710    27.892     0.000
       179    33.809     1.959     2.733     1.231    -7.830  1863.535  1582.674     8.396     4.283     2.694    27.270     0.000
       180    34.485     1.988     2.771     1.244    -7.782  1862.289  1583.014     8.393     4.258     2.678    26.670     0.000
       181    35.174     2.018     2.809     1.256    -7.734  1861.068  1583.347     8.390     4.233     2.663    26.091     0.000
       182    35.877     2.048     2.847     1.269    -7.685  1859.870  1583.673     8.387     4.209     2.648    25.532     0.000
       183    36.594     2.078     2.885     1.281    -7.636  1858.696  1583.993     8.384     4.185     2.633    24.992     0.000
       184    37.326     2.108     2.924     1.294    -7.586  1857.545  1584.307     8.381     4.161     2.618    24.471     0.000
       185    38.072     2.139     2.963     1.306    -7.536  1856.417  1584.615     8.378     4.139     2.604    23.967     0.000
       186    38.833     2.170     3.002     1.318    -7.485  1855.311  1584.917     8.375     4.116     2.590    23.481     0.000
       187    39.609     2.201     3.042     1.330    -7.434  1854.226  1585.212     8.372     4.094     2.576    23.011     0.000
       188    40.401     2.233     3.082     1.343    -7.383  1853.163  1585.502     8.369     4.073     2.563    22.557     0.000
       189    41.208     2.265     3.122     1.355    -7.330  1852.121  1585.786     8.366     4.052     2.550    22.118     0.000
       190    42.032     2.298     3.162     1.367    -7.278  1851.099  1586.065     8.364     4.032     2.537    21.694     0.000
       191    42.872     2.331     3.203     1.379    -7.225  1850.097  1586.338     8.361     4.011     2.525    21.283     0.000
       192    43.729     2.364     3.244     1.391    -7.171  1849.114  1586.606     8.358     3.992     2.512    20.886     0.000
       193    44.603     2.398     3.285     1.403    -7.117  1848.151  1586.869     8.356     3.972     2.500    20.502     0.000
       194    45.495     2.432     3.327     1.415    -7.063  1847.207  1587.126     8.353     3.954     2.489    20.131     0.000
       195    46.404     2.466     3.369     1.427    -7.008  1846.282  1587.379     8.351     3.935     2.477    19.771     0.000
       196    47.332     2.501     3.411     1.439    -6.953  1845.374  1587.626     8.348     3.917     2.466    19.423     0.000
       197    48.278     2.536     3.453     1.451    -6.897  1844.484  1587.869     8.346     3.899     2.455    19.086     0.000
       198    49.243     2.572     3.496     1.462    -6.840  1843.612  1588.107     8.344     3.882     2.444    18.760     0.000
       199    50.228     2.607     3.539     1.474    -6.783  1842.757  1588.340     8.341     3.865     2.433    18.444     0.000
       200    51.232     2.644     3.583     1.486    -6.726  1841.919  1588.569     8.339     3.848     2.423    18.138     0.000
       201    52.256     2.681     3.626     1.498    -6.668  1841.097  1588.793     8.337     3.832     2.413    17.842     0.000
       202    53.301     2.718     3.670     1.509    -6.610  1840.291  1589.012     8.335     3.816     2.403    17.554     0.000
       203    54.366     2.755     3.715     1.521    -6.551  1839.501  1589.228     8.332     3.800     2.393    17.276     0.000
       204    55.453     2.794     3.759     1.532    -6.492  1838.726  1589.439     8.330     3.785     2.383    17.006     0.000
       205    56.562     2.832     3.805     1.544    -6.432  1837.967  1589.646     8.328     3.770     2.374    16.744     0.000
       206    57.692     2.871     3.850     1.555    -6.372  1837.223  1589.849     8.326     3.755     2.365    16.490     0.000
       207    58.846     2.910     3.896     1.566    -6.311  1836.493  1590.048     8.324     3.741     2.356    16.244     0.000
       208    60.022     2.950     3.942     1.578    -6.250  1835.777  1590.243     8.322     3.727     2.347    16.006     0.000
       209    61.222     2.990     3.988     1.589    -6.188  1835.076  1590.435     8.320     3.713     2.338    15.774     0.000
       210    62.446     3.031     4.035     1.600    -6.126  1834.388  1590.622     8.318     3.699     2.330    15.549     0.000
       211    63.695     3.072     4.082     1.611    -6.063  1833.714  1590.806     8.316     3.686     2.322    15.331     0.000
