****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     25.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        55     1.885     0.319     0.000     0.282    -2.604     2.141     1.885  1021.407 53042.518    27.895    10.251     0.020     1.000
        56     1.895     0.321     0.000     0.286    -2.606     2.176     1.895  1021.420 52761.142    27.912    10.252     0.020     1.000
        57     1.905     0.324     0.000     0.290    -2.607     2.212     1.905  1021.433 52485.972    27.929    10.253     0.020     1.000
        58     1.915     0.326     0.000     0.294    -2.609     2.247     1.915  1021.446 52216.770    27.946    10.255     0.020     1.000
        59     1.925     0.328     0.000     0.297    -2.610     2.282     1.925  1021.458 51953.311    27.962    10.256     0.020     1.000
        60     1.934     0.329     0.000     0.301    -2.612     2.317     1.934  1021.471 51695.380    27.978    10.257     0.020     1.000
        61     1.944     0.331     0.000     0.305    -2.613     2.351     1.944  1021.483 51442.773    27.994    10.258     0.020     1.000
        62     1.953     0.333     0.000     0.308    -2.615     2.386     1.953  1021.494 51195.297    28.009    10.259     0.020     1.000
        63     1.963     0.335     0.000     0.312    -2.616     2.420     1.963  1021.506 50952.767    28.024    10.261     0.020     1.000
        64     1.972     0.337     0.000     0.315    -2.617     2.455     1.972  1021.517 50715.007    28.039    10.262     0.020     1.000
        65     1.981     0.339     0.000     0.319    -2.618     2.489     1.981  1021.528 50481.850    28.053    10.263     0.020     1.000
        66     1.990     0.341     0.000     0.322    -2.620     2.523     1.990  1021.539 50253.136    28.067    10.264     0.020     1.000
        67     1.999     0.343     0.000     0.326    -2.621     2.557     1.999  1021.549 50028.712    28.081    10.265     0.020     1.000
        68     2.008     0.344     0.000     0.329    -2.622     2.591     2.008  1021.560 49808.433    28.095    10.266     0.020     1.004
        69     2.016     0.346     0.000     0.333    -2.623     2.625     2.016  1021.570 49592.158    28.108    10.267     0.020     1.008
        70     2.025     0.348     0.000     0.336    -2.624     2.659     2.025  1021.580 49379.757    28.121    10.268     0.020     1.013
        71     2.034     0.350     0.000     0.340    -2.625     2.693     2.034  1021.590 49171.100    28.134    10.269     0.020     1.017
        72     2.042     0.351     0.000     0.343    -2.626     2.726     2.042  1021.599 48966.066    28.147    10.270     0.020     1.021
        73     2.051     0.353     0.000     0.346    -2.627     2.760     2.051  1021.609 48764.539    28.159    10.271     0.020     1.025
        74     2.059     0.355     0.000     0.350    -2.628     2.793     2.059  1021.618 48566.407    28.171    10.272     0.020     1.030
        75     2.067     0.356     0.000     0.353    -2.629     2.826     2.067  1021.627 48371.563    28.183    10.273     0.020     1.034
        76     2.076     0.358     0.000     0.356    -2.630     2.860     2.076  1021.636 48179.903    28.195    10.274     0.020     1.038
        77     2.084     0.360     0.000     0.360    -2.631     2.893     2.084  1021.645 47991.329    28.207    10.275     0.020     1.042
        78     2.092     0.361     0.000     0.363    -2.632     2.926     2.092  1021.654 47805.748    28.218    10.275     0.020     1.046
        79     2.100     0.363     0.000     0.366    -2.632     2.959     2.100  1021.663 47623.066    28.230    10.276     0.020     1.050
        80     2.108     0.364     0.000     0.369    -2.633     2.992     2.108  1021.671 47443.198    28.241    10.277     0.020     1.054
        81     2.116     0.366     0.000     0.373    -2.634     3.025     2.116  1021.679 47266.059    28.252    10.278     0.020     1.058
        82     2.124     0.367     0.000     0.376    -2.635     3.058     2.124  1021.688 47091.568    28.262    10.279     0.020     1.062
        83     2.131     0.369     0.000     0.379    -2.635     3.091     2.131  1021.696 46919.648    28.273    10.280     0.020     1.066
        84     2.139     0.370     0.000     0.382    -2.636     3.124     2.139  1021.704 46750.223    28.284    10.280     0.020     1.070
        85     2.147     0.372     0.000     0.385    -2.637     3.157     2.147  1021.712 46583.221    28.294    10.281     0.020     1.073
        86     2.154     0.373     0.000     0.388    -2.637     3.189     2.154  1021.719 46418.572    28.304    10.282     0.020     1.077
        87     2.162     0.375     0.000     0.392    -2.638     3.222     2.162  1021.727 46256.209    28.314    10.283     0.020     1.081
        88     2.169     0.376     0.000     0.395    -2.638     3.255     2.169  1021.735 46096.068    28.324    10.283     0.020     1.085
        89     2.177     0.378     0.000     0.398    -2.639     3.287     2.177  1021.742 45938.086    28.334    10.284     0.020     1.088
        90     2.184     0.379     0.000     0.401    -2.640     3.320     2.184  1021.749 45782.201    28.343    10.285     0.020     1.092
        91     2.192     0.380     0.000     0.404    -2.640     3.352     2.192  1021.757 45628.356    28.353    10.286     0.020     1.096
        92     2.199     0.382     0.000     0.407    -2.640     3.385     2.199  1021.764 45476.494    28.362    10.286     0.020     1.099
        93     2.206     0.383     0.000     0.410    -2.641     3.417     2.206  1021.771 45326.560    28.371    10.287     0.020     1.103
        94     2.213     0.384     0.000     0.413    -2.641     3.450     2.213  1021.778 45178.502    28.381    10.288     0.020     1.107
        95     2.221     0.386     0.000     0.416    -2.642     3.482     2.221  1021.785 45032.267    28.390    10.288     0.020     1.110
        96     2.228     0.387     0.000     0.419    -2.642     3.515     2.228  1021.792 44887.806    28.398    10.289     0.020     1.114
        97     2.235     0.388     0.000     0.422    -2.642     3.547     2.235  1021.798 44745.071    28.407    10.290     0.020     1.117
        98     2.242     0.390     0.000     0.425    -2.643     3.580     2.242  1021.805 44604.016    28.416    10.290     0.020     1.121
        99     2.249     0.391     0.000     0.428    -2.643     3.612     2.249  1021.812 44464.593    28.425    10.291     0.020     1.124
       100     2.256     0.392     0.000     0.431    -2.643     3.644     2.256  1021.818 44326.760    28.433    10.292     0.020     1.128
