****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        64     3.559     0.435     0.000     0.556    -3.078     5.714     3.559  1024.775 28096.883    32.250    10.339     0.020     1.780
        65     3.630     0.441     0.000     0.567    -3.096     5.889     3.630  1024.759 27545.529    32.230    10.340     0.020     1.815
        66     3.703     0.448     0.000     0.579    -3.113     6.067     3.703  1024.743 27005.003    32.210    10.341     0.020     1.852
        67     3.777     0.454     0.000     0.590    -3.130     6.249     3.777  1024.728 26475.092    32.190    10.342     0.020     1.889
        68     3.853     0.460     0.000     0.602    -3.148     6.434     3.853  1024.713 25955.588    32.170    10.342     0.020     1.926
        69     3.930     0.467     0.000     0.614    -3.166     6.623     3.930  1024.698 25446.285    32.151    10.343     0.020     1.965
        70     4.009     0.473     0.000     0.625    -3.185     6.816     4.009  1024.683 24946.984    32.133    10.343     0.020     2.004
        71     4.089     0.480     0.000     0.637    -3.203     7.012     4.089  1024.669 24457.486    32.114    10.344     0.020     2.044
        72     4.171     0.487     0.000     0.649    -3.222     7.211     4.171  1024.655 23977.600    32.096    10.344     0.020     2.085
        73     4.254     0.493     0.000     0.661    -3.241     7.414     4.254  1024.641 23507.137    32.079    10.344     0.020     2.127
        74     4.339     0.500     0.000     0.673    -3.260     7.621     4.339  1024.628 23045.911    32.062    10.344     0.020     2.170
        75     4.426     0.507     0.000     0.685    -3.280     7.832     4.426  1024.615 22593.741    32.045    10.344     0.020     2.213
        76     4.515     0.514     0.000     0.697    -3.299     8.046     4.515  1024.602 22150.449    32.028    10.344     0.020     2.257
        77     4.605     0.521     0.000     0.709    -3.319     8.265     4.605  1024.589 21715.859    32.012    10.344     0.020     2.302
        78     4.697     0.528     0.000     0.722    -3.339     8.487     4.697  1024.577 21289.802    31.996    10.343     0.020     2.349
        79     4.791     0.535     0.000     0.734    -3.360     8.713     4.791  1024.565 20872.109    31.980    10.343     0.020     2.396
        80     4.887     0.543     0.000     0.746    -3.381     8.943     4.887  1024.553 20462.616    31.965    10.343     0.020     2.443
        81     4.985     0.550     0.000     0.759    -3.402     9.177     4.985  1024.542 20061.161    31.950    10.342     0.020     2.492
        82     5.085     0.558     0.000     0.771    -3.423     9.415     5.085  1024.530 19667.588    31.935    10.341     0.020     2.542
        83     5.186     0.565     0.000     0.784    -3.444     9.657     5.186  1024.519 19281.740    31.921    10.341     0.020     2.593
        84     5.290     0.573     0.000     0.796    -3.466     9.903     5.290  1024.508 18903.466    31.907    10.340     0.020     2.645
        85     5.396     0.580     0.000     0.809    -3.488    10.154     5.396  1024.498 18532.618    31.893    10.339     0.020     2.698
        86     5.504     0.588     0.000     0.822    -3.510    10.408     5.504  1024.487 18169.049    31.879    10.338     0.020     2.752
        87     5.614     0.596     0.000     0.834    -3.533    10.667     5.614  1024.477 17812.616    31.866    10.337     0.020     2.807
        88     5.726     0.604     0.000     0.847    -3.555    10.931     5.726  1024.467 17463.179    31.853    10.336     0.020     2.863
        89     5.841     0.612     0.000     0.860    -3.579    11.199     5.841  1024.457 17120.601    31.840    10.335     0.020     2.920
        90     5.958     0.620     0.000     0.873    -3.602    11.471     5.958  1024.448 16784.747    31.828    10.333     0.020     2.979
        91     6.077     0.629     0.000     0.886    -3.625    11.748     6.077  1024.438 16455.484    31.815    10.332     0.020     3.039
        92     6.199     0.637     0.000     0.899    -3.649    12.029     6.199  1024.429 16132.684    31.803    10.331     0.020     3.099
        93     6.323     0.645     0.000     0.913    -3.673    12.315     6.323  1024.420 15816.218    31.791    10.329     0.020     3.161
        94     6.449     0.654     0.000     0.926    -3.698    12.606     6.449  1024.412 15505.964    31.780    10.327     0.020     3.225
        95     6.578     0.663     0.000     0.939    -3.722    12.901     6.578  1024.403 15201.799    31.769    10.326     0.020     3.289
        96     6.710     0.671     0.000     0.953    -3.747    13.202     6.710  1024.395 14903.602    31.757    10.324     0.020     3.355
        97     6.844     0.680     0.000     0.966    -3.772    13.507     6.844  1024.387 14611.258    31.746    10.322     0.020     3.422
        98     6.981     0.689     0.000     0.980    -3.798    13.817     6.981  1024.379 14324.651    31.736    10.320     0.020     3.490
        99     7.121     0.698     0.000     0.993    -3.823    14.133     7.121  1024.371 14043.668    31.725    10.318     0.020     3.560
       100     7.263     0.708     0.000     1.007    -3.850    14.453     7.263  1024.363 13768.199    31.715    10.316     0.020     3.632
       101     7.408     0.717     0.000     1.021    -3.876    14.779     7.408  1024.356 13498.136    31.705    10.314     0.020     3.704
       102     7.557     0.726     0.000     1.034    -3.902    15.110     7.557  1024.348 13233.372    31.695    10.312     0.020     3.778
       103     7.708     0.736     0.000     1.048    -3.929    15.446     7.708  1024.341 12973.804    31.685    10.309     0.020     3.854
       104     7.862     0.746     0.000     1.062    -3.956    15.788     7.862  1024.334 12719.329    31.676    10.307     0.020     3.931
       105     8.019     0.756     0.000     1.076    -3.984    16.135     8.019  1024.327 12469.847    31.666    10.304     0.020     4.010
       106     8.180     0.765     0.000     1.091    -4.012    16.487     8.180  1024.321 12225.260    31.657    10.302     0.020     4.090
       107     8.343     0.776     0.000     1.105    -4.040    16.846     8.343  1024.314 11985.473    31.648    10.299     0.020     4.172
       108     8.510     0.786     0.000     1.119    -4.068    17.210     8.510  1024.308 11750.390    31.639    10.296     0.020     4.255
       109     8.681     0.796     0.000     1.134    -4.097    17.580     8.681  1024.301 11519.920    31.631    10.294     0.020     4.340
       110     8.854     0.807     0.000     1.148    -4.126    17.956     8.854  1024.295 11293.973    31.622    10.291     0.020     4.427
       111     9.031     0.817     0.000     1.163    -4.155    18.337     9.031  1024.289 11072.458    31.614    10.288     0.020     4.516
       112     9.212     0.828     0.000     1.177    -4.184    18.725     9.212  1024.284 10855.289    31.606    10.285     0.020     4.606
       113     9.396     0.839     0.000     1.192    -4.214    19.119     9.396  1024.278 10642.382    31.598    10.282     0.020     4.698
       114     9.584     0.850     0.000     1.207    -4.244    19.520     9.584  1024.272 10433.651    31.590    10.278     0.020     4.792
       115     9.776     0.861     0.000     1.222    -4.275    19.926     9.776  1024.267 10229.016    31.583    10.275     0.020     4.888
       116     9.972     0.872     0.000     1.237    -4.305    20.340     9.972  1024.262 10028.395    31.575    10.272     0.020     4.986
       117    10.171     0.884     0.000     1.252    -4.337    20.759    10.171  1024.257  9831.710    31.568    10.269     0.020     5.086
       118    10.375     0.895     0.000     1.268    -4.368    21.186    10.375  1024.252  9638.884    31.561    10.265     0.020     5.187
       119    10.582     0.907     0.000     1.283    -4.400    21.619    10.582  1024.247  9449.841    31.553    10.261     0.020     5.291
       120    10.794     0.919     0.000     1.299    -4.432    22.059    10.794  1024.242  9264.507    31.547    10.258     0.020     5.397
       121    11.010     0.931     0.000     1.314    -4.464    22.506    11.010  1024.237  9082.809    31.540    10.254     0.020     5.505
       122    11.230     0.943     0.000     1.330    -4.497    22.961    11.230  1024.233  8904.675    31.533    10.250     0.020     5.615
       123    11.455     0.956     0.000     1.346    -4.530    23.422    11.455  1024.228  8730.036    31.527    10.246     0.020     5.727
       124    11.684     0.968     0.000     1.362    -4.563    23.891    11.684  1024.224  8558.822    31.520    10.243     0.020     5.842
       125    11.918     0.981     0.000     1.378    -4.596    24.367    11.918  1024.220  8390.968    31.514    10.239     0.020     5.959
       126    12.156     0.994     0.000     1.394    -4.630    24.851    12.156  1024.216  8226.406    31.508    10.234     0.020     6.078
       127    12.399     1.007     0.000     1.411    -4.665    25.343    12.399  1024.212  8065.073    31.502    10.230     0.020     6.200
       128    12.647     1.021     0.000     1.427    -4.699    25.842    12.647  1024.208  7906.904    31.496    10.226     0.020     6.324
       129    12.900     1.034     0.000     1.444    -4.734    26.349    12.900  1024.204  7751.838    31.490    10.222     0.020     6.450
       130    13.158     1.048     0.000     1.461    -4.770    26.865    13.158  1024.200  7599.814    31.484    10.217     0.020     6.579
       131    13.421     1.062     0.000     1.478    -4.805    27.389    13.421  1024.197  7450.772    31.479    10.213     0.020     6.711
       132    13.690     1.076     0.000     1.495    -4.841    27.921    13.690  1024.193  7304.653    31.473    10.208     0.020     6.845
       133    13.964     1.090     0.000     1.512    -4.877    28.462    13.964  1024.190  7161.401    31.468    10.204     0.020     6.982
       134    14.243     1.105     0.000     1.529    -4.914    29.011    14.243  1024.186  7020.958    31.463    10.199     0.020     7.122
       135    14.528     1.120     0.000     1.547    -4.951    29.569    14.528  1024.183  6883.271    31.457    10.194     0.020     7.264
       136    14.819     1.135     0.000     1.564    -4.988    30.137    14.819  1024.180  6748.284    31.452    10.189     0.020     7.409
       137    15.115     1.150     0.000     1.582    -5.026    30.713    15.115  1024.177  6615.945    31.447    10.184     0.020     7.557
       138    15.417     1.165     0.000     1.600    -5.064    31.299    15.417  1024.174  6486.202    31.443    10.179     0.020     7.709
       139    15.726     1.181     0.000     1.618    -5.102    31.894    15.726  1024.171  6359.004    31.438    10.174     0.020     7.863
       140    16.040     1.197     0.000     1.637    -5.141    32.499    16.040  1024.168  6234.301    31.433    10.169     0.020     8.020
       141    16.361     1.213     0.000     1.655    -5.180    33.114    16.361  1024.166  6112.044    31.429    10.164     0.020     8.181
       142    16.688     1.230     0.000     1.674    -5.219    33.738    16.688  1024.163  5992.184    31.424    10.159     0.020     8.344
       143    17.022     1.246     0.000     1.693    -5.259    34.373    17.022  1024.161  5874.676    31.420    10.153     0.020     8.511
       144    17.363     1.263     0.000     1.712    -5.299    35.019    17.363  1024.158  5759.473    31.415    10.148     0.020     8.681
       145    17.710     1.281     0.000     1.731    -5.339    35.675    17.710  1024.156  5646.529    31.411    10.142     0.020     8.855
       146    18.064     1.298     0.000     1.750    -5.380    36.341    18.064  1024.154  5535.800    31.407    10.137     0.020     9.032
       147    18.426     1.316     0.000     1.770    -5.421    37.019    18.426  1024.151  5427.243    31.403    10.131     0.020     9.213
       148    18.794     1.334     0.000     1.790    -5.463    37.708    18.794  1024.149  5320.816    31.399    10.125     0.020     9.397
       149    19.170     1.352     0.000     1.810    -5.505    38.408    19.170  1024.147  5216.475    31.395    10.119     0.020     9.585
       150    19.553     1.371     0.000     1.830    -5.547    39.120    19.553  1024.145  5114.182    31.391    10.113     0.020     9.777
       151    19.945     1.390     0.000     1.850    -5.589    39.844    19.945  1024.143  5013.894    31.388    10.107     0.020     9.972
       152    20.344     1.410     0.000     1.871    -5.632    40.579    20.344  1024.141  4915.573    31.384    10.101     0.020    10.172
       153    20.750     1.429     0.000     1.892    -5.675    41.328    20.750  1024.140  4819.181    31.380    10.095     0.020    10.375
       154    21.165     1.449     0.000     1.913    -5.719    42.088    21.165  1024.138  4724.680    31.377    10.089     0.020    10.583
       155    21.589     1.470     0.000     1.935    -5.763    42.862    21.589  1024.136  4632.031    31.373    10.083     0.020    10.794
       156    22.021     1.490     0.000     1.956    -5.807    43.648    22.021  1024.135  4541.200    31.370    10.076     0.020    11.010
       157    22.461     1.511     0.000     1.978    -5.852    44.448    22.461  1024.133  4452.150    31.367    10.070     0.020    11.231
       158    22.910     1.533     0.000     2.000    -5.897    45.262    22.910  1024.132  4364.847    31.363    10.063     0.020    11.455
       159    23.369     1.555     0.000     2.023    -5.942    46.089    23.369  1024.130  4279.256    31.360    10.057     0.020    11.684
       160    23.836     1.577     0.000     2.045    -5.987    46.931    23.836  1024.129  4195.343    31.357    10.050     0.020    11.918
       161    24.313     1.600     0.000     2.068    -6.033    47.787    24.313  1024.128  4113.077    31.354    10.043     0.020    12.156
       162    24.799     1.623     0.000     2.091    -6.080    48.657    24.799  1024.126  4032.423    31.351    10.036     0.020    12.399
       163    25.295     1.646     0.000     2.115    -6.126    49.543    25.295  1024.125  3953.352    31.348    10.029     0.020    12.647
       164    25.801     1.671     0.000     2.139    -6.173    50.445    25.801  1024.124  3875.832    31.345    10.023     0.020    12.900
       165    26.317     1.696     0.000     2.163    -6.220    51.362    26.317  1024.124  3799.832    31.343    10.016     0.020    13.158
       166    26.843     1.723     0.000     2.187    -6.267    52.294    26.843  1024.123  3725.323    31.341    10.009     0.020    13.422
       167    27.380     1.750     0.000     2.212    -6.314    53.242    27.380  1024.122  3652.276    31.339    10.003     0.020    13.690
       168    27.928     1.779     0.000     2.237    -6.361    54.207    27.928  1024.122  3580.661    31.337     9.996     0.020    13.964
       169    28.486     1.809     0.000     2.262    -6.409    55.189    28.486  1024.122  3510.451    31.335     9.990     0.020    14.243
       170    29.056     1.841     0.000     2.288    -6.456    56.188    29.056  1024.122  3441.619    31.334     9.983     0.020    14.528
---------------------------- Plume traps -----------------------------
       171    29.637     1.873     0.000     2.314    -6.503    57.206    29.637  1024.122  3374.136    31.332     9.977     0.020    14.819
       172    30.230     1.908     0.000     2.340    -6.550    58.242    30.230  1024.122  3307.977    31.331     9.970     0.020    15.115
       173    30.793     1.942     0.000     2.365    -6.593    59.226    30.793  1024.122  3247.482    31.330     9.964     0.020    15.397
       174    31.317     1.976     0.000     2.388    -6.633    60.134    31.317  1024.123  3193.117    31.330     9.959     0.020    15.659
       175    31.803     2.008     0.000     2.409    -6.668    60.970    31.803  1024.123  3144.354    31.329     9.954     0.020    15.902
       176    32.257     2.038     0.000     2.429    -6.701    61.747    32.257  1024.123  3100.149    31.329     9.950     0.020    16.128
       177    32.683     2.068     0.000     2.447    -6.731    62.474    32.683  1024.124  3059.696    31.329     9.946     0.020    16.341
       178    33.087     2.096     0.000     2.464    -6.758    63.161    33.087  1024.124  3022.334    31.329     9.942     0.020    16.544
       179    33.472     2.123     0.000     2.480    -6.784    63.812    33.472  1024.125  2987.591    31.329     9.938     0.020    16.736
       180    33.840     2.150     0.000     2.496    -6.808    64.434    33.840  1024.126  2955.096    31.328     9.935     0.020    16.920
       181    34.193     2.176     0.000     2.510    -6.830    65.028    34.193  1024.126  2924.565    31.329     9.932     0.020    17.097
       182    34.533     2.201     0.000     2.525    -6.852    65.598    34.533  1024.127  2895.765    31.329     9.929     0.020    17.267
       183    34.861     2.226     0.000     2.538    -6.872    66.145    34.861  1024.127  2868.505    31.329     9.926     0.020    17.431
       184    35.179     2.250     0.000     2.551    -6.891    66.673    35.179  1024.128  2842.624    31.329     9.923     0.020    17.589
       185    35.486     2.274     0.000     2.564    -6.909    67.182    35.486  1024.128  2817.986    31.329     9.920     0.020    17.743
       186    35.785     2.298     0.000     2.576    -6.926    67.674    35.785  1024.129  2794.474    31.329     9.918     0.020    17.892
       187    36.075     2.321     0.000     2.587    -6.942    68.150    36.075  1024.129  2771.986    31.329     9.915     0.020    18.038
       188    36.358     2.344     0.000     2.599    -6.958    68.611    36.358  1024.130  2750.434    31.329     9.913     0.020    18.179
