****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil        TA       DIC        pH    OmegaC    OmegaA     R_cal     R_arg
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        () (mmol/m3) (mmol/m3)   (total)        ()        () (umol/hr) (umol/hr)
        85     3.099     0.034     0.000     0.035    -1.981     1.020     3.099  1024.842 32270.571    32.360    10.453     0.020     1.549  8604.956  2521.807    11.325    58.920    37.341103103.287     0.000
        86     3.123     0.034     0.000     0.036    -1.981     1.038     3.123  1024.834 32020.990    32.351    10.455     0.020     1.561  8560.891  2521.639    11.319    58.913    37.336103069.530     0.000
        87     3.147     0.034     0.000     0.036    -1.981     1.057     3.147  1024.826 31778.038    32.341    10.456     0.020     1.573  8517.996  2521.475    11.313    58.906    37.331103035.797     0.000
        88     3.170     0.035     0.000     0.037    -1.981     1.076     3.170  1024.819 31541.677    32.332    10.458     0.020     1.585  8476.265  2521.315    11.307    58.900    37.326103002.122     0.000
        89     3.194     0.035     0.000     0.037    -1.981     1.095     3.194  1024.811 31311.875    32.323    10.460     0.020     1.597  8435.691  2521.160    11.302    58.893    37.321102968.539     0.000
        90     3.217     0.035     0.000     0.038    -1.981     1.115     3.217  1024.804 31088.600    32.314    10.461     0.020     1.608  8396.269  2521.009    11.296    58.887    37.317102935.082     0.000
        91     3.239     0.035     0.000     0.039    -1.981     1.134     3.239  1024.798 30871.819    32.306    10.463     0.020     1.620  8357.993  2520.863    11.290    58.880    37.312102901.790     0.000
        92     3.261     0.035     0.000     0.039    -1.981     1.154     3.261  1024.791 30661.501    32.298    10.464     0.020     1.631  8320.858  2520.721    11.285    58.874    37.307102868.699     0.000
        93     3.283     0.035     0.000     0.040    -1.981     1.174     3.283  1024.785 30457.614    32.290    10.465     0.020     1.642  8284.858  2520.583    11.280    58.867    37.302102835.849     0.000
        94     3.305     0.036     0.000     0.040    -1.981     1.194     3.305  1024.778 30260.126    32.282    10.467     0.020     1.652  8249.987  2520.450    11.275    58.861    37.298102803.281     0.000
        95     3.326     0.036     0.000     0.041    -1.980     1.215     3.326  1024.772 30069.002    32.274    10.468     0.020     1.663  8216.240  2520.321    11.269    58.854    37.293102771.036     0.000
        96     3.346     0.036     0.000     0.042    -1.980     1.235     3.346  1024.766 29884.206    32.267    10.469     0.020     1.673  8183.610  2520.196    11.264    58.848    37.289102739.155     0.000
        97     3.366     0.036     0.000     0.042    -1.980     1.256     3.366  1024.761 29705.697    32.260    10.470     0.020     1.683  8152.090  2520.076    11.260    58.842    37.284102707.680     0.000
        98     3.386     0.036     0.000     0.043    -1.980     1.277     3.386  1024.755 29533.432    32.253    10.472     0.020     1.693  8121.672  2519.959    11.255    58.836    37.280102676.652     0.000
