****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.020    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        79     4.791     0.059     0.000     0.085    -1.918     0.214     4.791  1024.480 20870.373    31.913    10.536     0.020     2.396
        80     4.887     0.060     0.000     0.087    -1.916     0.223     4.887  1024.467 20460.890    31.897    10.539     0.020     2.444
        81     4.985     0.062     0.000     0.089    -1.914     0.232     4.985  1024.454 20059.446    31.881    10.541     0.020     2.493
        82     5.085     0.063     0.000     0.092    -1.912     0.242     5.085  1024.441 19665.884    31.865    10.544     0.020     2.542
        83     5.187     0.064     0.000     0.094    -1.910     0.252     5.187  1024.429 19280.047    31.850    10.547     0.020     2.593
        84     5.291     0.065     0.000     0.096    -1.907     0.262     5.291  1024.417 18901.785    31.835    10.550     0.020     2.645
        85     5.396     0.067     0.000     0.099    -1.905     0.273     5.396  1024.405 18530.948    31.821    10.553     0.020     2.698
        86     5.504     0.068     0.000     0.101    -1.903     0.284     5.504  1024.394 18167.390    31.806    10.555     0.020     2.752
        87     5.615     0.069     0.000     0.104    -1.901     0.296     5.615  1024.382 17810.970    31.792    10.558     0.020     2.807
        88     5.727     0.071     0.000     0.106    -1.898     0.308     5.727  1024.371 17461.545    31.779    10.561     0.020     2.863
        89     5.841     0.072     0.000     0.109    -1.896     0.320     5.841  1024.360 17118.979    31.765    10.563     0.020     2.921
        90     5.958     0.073     0.000     0.112    -1.894     0.333     5.958  1024.350 16783.137    31.752    10.566     0.020     2.979
        91     6.078     0.075     0.000     0.114    -1.891     0.347     6.078  1024.339 16453.887    31.739    10.568     0.020     3.039
        92     6.199     0.076     0.000     0.117    -1.889     0.361     6.199  1024.329 16131.099    31.726    10.571     0.020     3.100
        93     6.323     0.078     0.000     0.120    -1.886     0.375     6.323  1024.319 15814.647    31.714    10.573     0.020     3.162
        94     6.450     0.079     0.000     0.123    -1.883     0.391     6.450  1024.309 15504.406    31.701    10.576     0.020     3.225
        95     6.579     0.081     0.000     0.126    -1.881     0.406     6.579  1024.299 15200.253    31.689    10.578     0.020     3.289
        96     6.710     0.082     0.000     0.129    -1.878     0.423     6.710  1024.289 14902.070    31.678    10.581     0.020     3.355
        97     6.845     0.084     0.000     0.132    -1.875     0.440     6.845  1024.280 14609.739    31.666    10.583     0.020     3.422
        98     6.982     0.086     0.000     0.135    -1.872     0.458     6.982  1024.271 14323.145    31.655    10.585     0.020     3.491
        99     7.121     0.087     0.000     0.138    -1.870     0.476     7.121  1024.262 14042.175    31.644    10.587     0.020     3.561
       100     7.264     0.089     0.000     0.142    -1.867     0.495     7.264  1024.253 13766.719    31.633    10.590     0.020     3.632
       101     7.409     0.091     0.000     0.145    -1.864     0.515     7.409  1024.244 13496.669    31.622    10.592     0.020     3.705
