****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.40     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.40      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        55     1.606     0.317     0.000     0.150    -2.686     1.000     0.020    10.197    33.551 62254.307  1025.812     1.606     3.649
        56     1.639     0.319     0.000     0.155    -2.699     1.000     0.020    10.203    33.504 61031.411  1025.774     1.639     3.785
        57     1.671     0.322     0.000     0.160    -2.712     1.000     0.020    10.208    33.459 59832.582  1025.738     1.671     3.921
        58     1.705     0.324     0.000     0.165    -2.726     1.000     0.020    10.213    33.414 58657.345  1025.702     1.705     4.058
        59     1.739     0.327     0.000     0.170    -2.739     1.000     0.020    10.219    33.370 57505.232  1025.667     1.739     4.195
        60     1.774     0.330     0.000     0.174    -2.753     1.000     0.020    10.224    33.327 56375.789  1025.632     1.774     4.334
        61     1.809     0.333     0.000     0.179    -2.766     1.000     0.020    10.228    33.284 55268.566  1025.599     1.809     4.473
        62     1.846     0.336     0.000     0.184    -2.780     1.000     0.020    10.233    33.243 54183.126  1025.566     1.846     4.613
        63     1.883     0.339     0.000     0.189    -2.794     1.000     0.020    10.238    33.203 53119.039  1025.533     1.883     4.754
        64     1.920     0.342     0.000     0.194    -2.808     1.000     0.020    10.242    33.163 52075.883  1025.502     1.920     4.896
        65     1.959     0.345     0.000     0.198    -2.822     1.000     0.020    10.246    33.124 51053.245  1025.471     1.959     5.040
        66     1.998     0.349     0.000     0.203    -2.837     1.000     0.020    10.250    33.086 50050.721  1025.440     1.998     5.184
        67     2.038     0.352     0.000     0.208    -2.851     1.019     0.020    10.254    33.048 49067.913  1025.411     2.038     5.330
        68     2.079     0.355     0.000     0.213    -2.866     1.039     0.020    10.258    33.012 48104.432  1025.382     2.079     5.477
        69     2.120     0.359     0.000     0.218    -2.881     1.060     0.020    10.261    32.976 47159.898  1025.353     2.120     5.626
        70     2.163     0.363     0.000     0.222    -2.896     1.081     0.020    10.265    32.941 46233.937  1025.325     2.163     5.775
        71     2.206     0.366     0.000     0.227    -2.911     1.103     0.020    10.268    32.907 45326.182  1025.298     2.206     5.927
        72     2.250     0.370     0.000     0.232    -2.926     1.125     0.020    10.271    32.873 44436.275  1025.271     2.250     6.079
        73     2.295     0.374     0.000     0.237    -2.941     1.148     0.020    10.274    32.840 43563.864  1025.245     2.295     6.234
        74     2.341     0.378     0.000     0.242    -2.957     1.171     0.020    10.277    32.808 42708.603  1025.219     2.341     6.390
        75     2.388     0.382     0.000     0.247    -2.973     1.194     0.020    10.280    32.776 41870.155  1025.194     2.388     6.547
        76     2.436     0.386     0.000     0.251    -2.988     1.218     0.020    10.282    32.745 41048.189  1025.170     2.436     6.707
        77     2.485     0.390     0.000     0.256    -3.004     1.242     0.020    10.285    32.715 40242.380  1025.146     2.485     6.868
        78     2.535     0.394     0.000     0.261    -3.021     1.267     0.020    10.287    32.685 39452.408  1025.122     2.535     7.030
        79     2.585     0.398     0.000     0.266    -3.037     1.293     0.020    10.289    32.656 38677.963  1025.099     2.585     7.195
        80     2.637     0.403     0.000     0.271    -3.053     1.319     0.020    10.291    32.627 37918.737  1025.077     2.637     7.362
        81     2.690     0.407     0.000     0.276    -3.070     1.345     0.020    10.293    32.599 37174.431  1025.055     2.690     7.530
        82     2.744     0.411     0.000     0.281    -3.087     1.372     0.020    10.295    32.572 36444.751  1025.033     2.744     7.701
        83     2.799     0.416     0.000     0.286    -3.104     1.399     0.020    10.297    32.545 35729.408  1025.012     2.799     7.873
        84     2.855     0.421     0.000     0.291    -3.121     1.427     0.020    10.298    32.519 35028.121  1024.991     2.855     8.048
        85     2.912     0.425     0.000     0.297    -3.138     1.456     0.020    10.300    32.493 34340.613  1024.971     2.912     8.225
        86     2.970     0.430     0.000     0.302    -3.156     1.485     0.020    10.301    32.467 33666.612  1024.951     2.970     8.404
        87     3.030     0.435     0.000     0.307    -3.173     1.515     0.020    10.303    32.443 33005.853  1024.931     3.030     8.585
        88     3.090     0.440     0.000     0.312    -3.191     1.545     0.020    10.304    32.418 32358.075  1024.912     3.090     8.769
        89     3.152     0.445     0.000     0.317    -3.209     1.576     0.020    10.305    32.394 31723.022  1024.893     3.152     8.954
        90     3.215     0.450     0.000     0.323    -3.228     1.608     0.020    10.306    32.371 31100.444  1024.875     3.215     9.143
        91     3.280     0.455     0.000     0.328    -3.246     1.640     0.020    10.307    32.348 30490.096  1024.857     3.280     9.333
        92     3.345     0.460     0.000     0.333    -3.265     1.673     0.020    10.308    32.325 29891.737  1024.839     3.345     9.526
        93     3.412     0.465     0.000     0.339    -3.283     1.706     0.020    10.308    32.303 29305.130  1024.822     3.412     9.722
        94     3.481     0.471     0.000     0.344    -3.302     1.740     0.020    10.309    32.282 28730.045  1024.805     3.481     9.920
        95     3.550     0.476     0.000     0.350    -3.322     1.775     0.020    10.309    32.261 28166.256  1024.788     3.550    10.121
        96     3.621     0.482     0.000     0.355    -3.341     1.811     0.020    10.310    32.240 27613.539  1024.772     3.621    10.324
        97     3.694     0.487     0.000     0.361    -3.360     1.847     0.020    10.310    32.219 27071.677  1024.756     3.694    10.530
        98     3.768     0.493     0.000     0.367    -3.380     1.884     0.020    10.310    32.199 26540.456  1024.741     3.768    10.739
