****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     35.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
       102     7.557     0.728     0.000     1.032    -3.502     3.778     0.020    10.399    31.678 13233.013  1024.320     7.557    15.085
       103     7.708     0.738     0.000     1.046    -3.529     3.854     0.020    10.397    31.669 12973.454  1024.314     7.708    15.423
       104     7.862     0.748     0.000     1.060    -3.556     3.931     0.020    10.394    31.659 12718.989  1024.307     7.862    15.766
       105     8.020     0.758     0.000     1.075    -3.583     4.010     0.020    10.392    31.650 12469.516  1024.300     8.020    16.115
       106     8.180     0.768     0.000     1.089    -3.611     4.090     0.020    10.389    31.642 12224.939  1024.294     8.180    16.470
       107     8.344     0.778     0.000     1.103    -3.639     4.172     0.020    10.387    31.633 11985.161  1024.287     8.344    16.831
       108     8.511     0.788     0.000     1.118    -3.667     4.255     0.020    10.384    31.624 11750.087  1024.281     8.511    17.197
       109     8.681     0.799     0.000     1.132    -3.696     4.340     0.020    10.382    31.616 11519.625  1024.275     8.681    17.570
       110     8.855     0.809     0.000     1.147    -3.725     4.427     0.020    10.379    31.608 11293.685  1024.269     8.855    17.948
       111     9.032     0.820     0.000     1.161    -3.754     4.516     0.020    10.376    31.600 11072.178  1024.264     9.032    18.333
       112     9.212     0.831     0.000     1.176    -3.784     4.606     0.020    10.373    31.592 10855.017  1024.258     9.212    18.724
       113     9.397     0.842     0.000     1.191    -3.813     4.698     0.020    10.370    31.584 10642.117  1024.253     9.397    19.121
       114     9.585     0.853     0.000     1.206    -3.843     4.792     0.020    10.367    31.577 10433.394  1024.247     9.585    19.524
       115     9.776     0.864     0.000     1.221    -3.874     4.888     0.020    10.364    31.569 10228.765  1024.242     9.776    19.934
       116     9.972     0.876     0.000     1.237    -3.904     4.986     0.020    10.361    31.562 10028.151  1024.237     9.972    20.351
       117    10.171     0.887     0.000     1.252    -3.935     5.086     0.020    10.358    31.555  9831.473  1024.232    10.171    20.774
       118    10.375     0.899     0.000     1.267    -3.967     5.187     0.020    10.354    31.548  9638.654  1024.227    10.375    21.205
       119    10.582     0.911     0.000     1.283    -3.998     5.291     0.020    10.351    31.541  9449.617  1024.222    10.582    21.642
       120    10.794     0.923     0.000     1.299    -4.030     5.397     0.020    10.347    31.535  9264.288  1024.218    10.794    22.086
       121    11.010     0.935     0.000     1.314    -4.063     5.505     0.020    10.344    31.528  9082.596  1024.213    11.010    22.537
       122    11.230     0.948     0.000     1.330    -4.095     5.615     0.020    10.340    31.522  8904.468  1024.209    11.230    22.996
       123    11.455     0.960     0.000     1.346    -4.128     5.727     0.020    10.336    31.515  8729.834  1024.205    11.455    23.462
       124    11.684     0.973     0.000     1.362    -4.161     5.842     0.020    10.332    31.509  8558.626  1024.200    11.684    23.935
       125    11.918     0.986     0.000     1.379    -4.195     5.959     0.020    10.329    31.503  8390.776  1024.196    11.918    24.416
       126    12.156     0.999     0.000     1.395    -4.229     6.078     0.020    10.325    31.497  8226.220  1024.192    12.156    24.905
       127    12.399     1.013     0.000     1.412    -4.263     6.200     0.020    10.320    31.491  8064.891  1024.189    12.399    25.401
       128    12.647     1.026     0.000     1.428    -4.297     6.324     0.020    10.316    31.486  7906.727  1024.185    12.647    25.906
       129    12.900     1.040     0.000     1.445    -4.332     6.450     0.020    10.312    31.480  7751.665  1024.181    12.900    26.419
       130    13.159     1.054     0.000     1.462    -4.367     6.579     0.020    10.308    31.475  7599.646  1024.178    13.159    26.940
       131    13.422     1.068     0.000     1.479    -4.403     6.711     0.020    10.303    31.469  7450.608  1024.174    13.422    27.469
       132    13.690     1.082     0.000     1.496    -4.439     6.845     0.020    10.299    31.464  7304.494  1024.171    13.690    28.007
       133    13.964     1.097     0.000     1.514    -4.475     6.982     0.020    10.294    31.459  7161.245  1024.167    13.964    28.554
       134    14.243     1.111     0.000     1.531    -4.511     7.122     0.020    10.290    31.454  7020.807  1024.164    14.243    29.110
       135    14.528     1.126     0.000     1.549    -4.548     7.264     0.020    10.285    31.449  6883.123  1024.161    14.528    29.674
       136    14.819     1.141     0.000     1.567    -4.585     7.409     0.020    10.280    31.444  6748.140  1024.158    14.819    30.248
       137    15.115     1.157     0.000     1.585    -4.623     7.558     0.020    10.276    31.439  6615.805  1024.155    15.115    30.831
       138    15.418     1.173     0.000     1.603    -4.661     7.709     0.020    10.271    31.434  6486.066  1024.153    15.418    31.424
       139    15.726     1.188     0.000     1.621    -4.699     7.863     0.020    10.266    31.430  6358.871  1024.150    15.726    32.026
       140    16.041     1.205     0.000     1.640    -4.738     8.020     0.020    10.261    31.425  6234.171  1024.147    16.041    32.638
       141    16.361     1.221     0.000     1.659    -4.777     8.181     0.020    10.255    31.421  6111.917  1024.145    16.361    33.260
       142    16.689     1.238     0.000     1.678    -4.816     8.344     0.020    10.250    31.416  5992.061  1024.142    16.689    33.893
       143    17.023     1.254     0.000     1.697    -4.855     8.511     0.020    10.245    31.412  5874.556  1024.140    17.023    34.535
       144    17.363     1.272     0.000     1.716    -4.895     8.682     0.020    10.240    31.408  5759.355  1024.137    17.363    35.189
       145    17.710     1.289     0.000     1.735    -4.936     8.855     0.020    10.234    31.404  5646.414  1024.135    17.710    35.853
       146    18.065     1.307     0.000     1.755    -4.976     9.032     0.020    10.228    31.400  5535.688  1024.133    18.065    36.528
       147    18.426     1.325     0.000     1.775    -5.017     9.213     0.020    10.223    31.396  5427.134  1024.131    18.426    37.214
       148    18.794     1.343     0.000     1.795    -5.058     9.397     0.020    10.217    31.392  5320.709  1024.129    18.794    37.912
