****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth
      Step (FluxAvg)       (m)       (m)       (m)       (m)
        79     4.687     0.349     0.409     0.227   -10.539
        80     4.780     0.355     0.419     0.233   -10.528
        81     4.875     0.362     0.429     0.238   -10.517
        82     4.972     0.369     0.440     0.244   -10.505
        83     5.071     0.376     0.450     0.249   -10.493
        84     5.172     0.383     0.461     0.255   -10.481
        85     5.275     0.391     0.472     0.261   -10.469
        86     5.380     0.398     0.483     0.267   -10.457
        87     5.487     0.406     0.495     0.273   -10.444
        88     5.597     0.414     0.506     0.279   -10.431
        89     5.708     0.422     0.518     0.285   -10.418
        90     5.822     0.430     0.530     0.292   -10.405
        91     5.938     0.438     0.542     0.298   -10.392
        92     6.056     0.446     0.555     0.305   -10.378
        93     6.177     0.455     0.567     0.311   -10.364
        94     6.300     0.463     0.580     0.318   -10.350
        95     6.425     0.472     0.594     0.325   -10.335
        96     6.553     0.481     0.607     0.332   -10.320
        97     6.684     0.490     0.620     0.339   -10.305
        98     6.817     0.499     0.634     0.346   -10.290
        99     6.953     0.509     0.648     0.353   -10.275
       100     7.092     0.518     0.663     0.360   -10.259
       101     7.233     0.528     0.677     0.368   -10.243
       102     7.377     0.538     0.692     0.375   -10.226
       103     7.524     0.548     0.707     0.383   -10.210
       104     7.674     0.558     0.723     0.391   -10.193
       105     7.827     0.569     0.738     0.399   -10.176
       106     7.983     0.579     0.754     0.407   -10.158
       107     8.143     0.590     0.770     0.415   -10.140
       108     8.305     0.601     0.787     0.423   -10.122
       109     8.471     0.612     0.803     0.432   -10.104
       110     8.640     0.624     0.820     0.440   -10.085
       111     8.812     0.635     0.838     0.449   -10.066
       112     8.988     0.647     0.855     0.457   -10.047
       113     9.167     0.659     0.873     0.466   -10.027
       114     9.350     0.671     0.891     0.475   -10.007
       115     9.536     0.683     0.910     0.484    -9.987
       116     9.727     0.696     0.928     0.493    -9.966
       117     9.921     0.708     0.948     0.502    -9.945
       118    10.119     0.721     0.967     0.512    -9.923
       119    10.321     0.734     0.987     0.521    -9.902
       120    10.527     0.747     1.007     0.531    -9.879
       121    10.737     0.761     1.027     0.541    -9.857
