****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01      2.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth     P-Den    P-Con.    CL-Dil      Time   Net-Dil     P-Sal    P-Temp  Amb-Curr        DO
      1030       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1035       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1040       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1045       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1050       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1055       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1060       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1065       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1070       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1075       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1080       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1085       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1090       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1095       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1100       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1105       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1110       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1115       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1120       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1125       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1130       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1135       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1140       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1145       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1150       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1155       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1160       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1165       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1170       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1175       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1180       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1185       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1190       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1195       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1200       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1205       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1210       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1215       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1220       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1225       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1230       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1235       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1240       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1245       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1250       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1255       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1260       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1265       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1270       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1275       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1280       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1285       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1290       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1295       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1300       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1305       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1310       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1315       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1320       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1325       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1330       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1335       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1340       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1345       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1350       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1355       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1360       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1365       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1370       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1375       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1380       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1385       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1390       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1395       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1400       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1405       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1410       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1415       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1420       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1425       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1430       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1435       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1440       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1445       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1450       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1455       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1460       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1465       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1470       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1475       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1480       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1485       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1490       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1495       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1500       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1505       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1510       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1515       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1520       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1525       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1530       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1535       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1540       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1545       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1550       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1555       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1560       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1565       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1570       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1575       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1580       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1585       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1590       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1595       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1600       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1605       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1610       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1615       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1620       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1625       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1630       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1635       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1640       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1645       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1650       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1655       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1660       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1665       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1670       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1675       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1680       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1685       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1690       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1695       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1700       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1705       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1710       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1715       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1720       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1725       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1730       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1735       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1740       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1745       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1750       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1755       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1760       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1765       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1770       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1775       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1780       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1785       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1790       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1795       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1800       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1805       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1810       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1815       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1820       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1825       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1830       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1835       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1840       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1845       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1850       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1855       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1860       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1865       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1870       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1875       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1880       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1885       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1890       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1895       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1900       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1905       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1910       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1915       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1920       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1925       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1930       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1935       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1940       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1945       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1950       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1955       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1960       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1965       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1970       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1975       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1980       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1985       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1990       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      1995       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2000       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2005       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2010       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2015       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2020       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2025       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2030       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2035       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2040       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2045       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2050       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2055       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2060       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2065       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2070       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2075       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2080       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2085       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2090       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2095       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2100       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2105       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
      2110       NaN       NaN       NaN       NaN       NaN       NaN       NaN       NaN  Infinity       NaN       NaN       NaN       NaN       NaN
