****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.01     15.00     45.00     90.00     25.00      2.00     20.70    207.00      2.00      0.01      2.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth     P-Den    P-Con.    CL-Dil      Time   Net-Dil     P-Sal    P-Temp  Amb-Curr        DO
      Step (FluxAvg)       (m)       (m)       (m)       (m)   (kg/m3)    (mg/L)        ()       (s)        ()     (psu)       (C)     (m/s)    (mg/L)
       106     8.001     0.077     0.000     0.123    -1.880  1021.067 12498.532     4.000     0.295     8.001    27.528    10.599     0.020     8.638
       107     8.161     0.079     0.000     0.125    -1.878  1021.121 12254.109     4.080     0.307     8.161    27.598    10.600     0.020     8.634
       108     8.323     0.080     0.000     0.128    -1.875  1021.173 12014.452     4.162     0.319     8.323    27.666    10.602     0.020     8.630
       109     8.489     0.082     0.000     0.131    -1.872  1021.225 11779.471     4.245     0.332     8.489    27.733    10.604     0.020     8.626
       110     8.659     0.083     0.000     0.134    -1.869  1021.276 11549.074     4.329     0.345     8.659    27.799    10.606     0.020     8.623
       111     8.831     0.085     0.000     0.137    -1.867  1021.325 11323.173     4.416     0.358     8.831    27.864    10.608     0.020     8.619
       112     9.008     0.087     0.000     0.140    -1.864  1021.374 11101.679     4.504     0.373     9.008    27.927    10.610     0.020     8.615
       113     9.187     0.088     0.000     0.143    -1.861  1021.422 10884.508     4.594     0.387     9.187    27.989    10.612     0.020     8.612
       114     9.371     0.090     0.000     0.146    -1.858  1021.469 10671.575     4.685     0.402     9.371    28.050    10.613     0.020     8.608
       115     9.558     0.092     0.000     0.150    -1.854  1021.515 10462.798     4.779     0.418     9.558    28.109    10.615     0.020     8.605
       116     9.748     0.093     0.000     0.153    -1.851  1021.560 10258.097     4.874     0.435     9.748    28.168    10.617     0.020     8.601
       117     9.943     0.095     0.000     0.156    -1.848  1021.604 10057.391     4.971     0.452     9.943    28.225    10.619     0.020     8.598
       118    10.141     0.097     0.000     0.160    -1.845  1021.647  9860.605     5.071     0.469    10.141    28.281    10.620     0.020     8.594
       119    10.344     0.099     0.000     0.163    -1.841  1021.689  9667.660     5.172     0.488    10.344    28.336    10.622     0.020     8.591
       120    10.550     0.101     0.000     0.167    -1.838  1021.731  9478.483     5.275     0.507    10.550    28.390    10.624     0.020     8.588
       121    10.761     0.103     0.000     0.171    -1.835  1021.771  9293.001     5.380     0.526    10.761    28.443    10.625     0.020     8.585
       122    10.976     0.105     0.000     0.174    -1.831  1021.811  9111.141     5.488     0.547    10.976    28.494    10.627     0.020     8.581
       123    11.195     0.106     0.000     0.178    -1.827  1021.850  8932.833     5.597     0.568    11.195    28.545    10.629     0.020     8.578
       124    11.418     0.108     0.000     0.182    -1.824  1021.889  8758.007     5.709     0.590    11.418    28.595    10.630     0.020     8.575
