****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.020    90.000    30.900    11.200     0.000     0.000     0.020    90.000   0.00030
     3.000     0.020    90.000    31.200    10.400     0.000     0.000     0.020    90.000   0.00030
     6.000     0.020    90.000    31.200     9.690     0.000     0.000     0.020    90.000   0.00030
     9.000     0.020    90.000    31.700     9.440     0.000     0.000     0.020    90.000   0.00030
    12.000     0.020    90.000    31.800     9.340     0.000     0.000     0.020    90.000   0.00030
    15.000     0.050    90.000    31.900     9.220     0.000     0.000     0.020    90.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (cms)     (psu)       (C)    (mg/L)
      0.20     15.00    -45.00     90.00      1.00      0.00     20.70    207.00      2.00      0.01     45.00     10.00 100000.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
        94     6.147     0.493     0.000     0.586    -3.226     7.316     6.147  1025.682 16269.373    33.433    10.416     0.020     3.073
        95     6.270     0.499     0.000     0.593    -3.249     7.469     6.270  1025.649 15949.839    33.389    10.415     0.020     3.135
        96     6.395     0.505     0.000     0.601    -3.273     7.624     6.395  1025.615 15636.591    33.346    10.413     0.020     3.198
        97     6.523     0.511     0.000     0.608    -3.297     7.781     6.523  1025.583 15329.506    33.304    10.412     0.020     3.262
        98     6.654     0.517     0.000     0.615    -3.321     7.941     6.654  1025.551 15028.461    33.263    10.410     0.020     3.327
        99     6.787     0.523     0.000     0.622    -3.345     8.103     6.787  1025.520 14733.337    33.223    10.409     0.020     3.394
       100     6.923     0.530     0.000     0.629    -3.370     8.267     6.923  1025.489 14444.017    33.183    10.407     0.020     3.462
       101     7.062     0.536     0.000     0.637    -3.395     8.434     7.062  1025.459 14160.388    33.144    10.405     0.020     3.531
       102     7.203     0.543     0.000     0.644    -3.420     8.604     7.203  1025.430 13882.336    33.106    10.404     0.020     3.602
       103     7.348     0.549     0.000     0.651    -3.446     8.776     7.348  1025.401 13609.752    33.069    10.402     0.020     3.674
       104     7.495     0.556     0.000     0.659    -3.472     8.951     7.495  1025.373 13342.527    33.032    10.400     0.020     3.747
       105     7.645     0.562     0.000     0.666    -3.498     9.128     7.645  1025.345 13080.557    32.996    10.398     0.020     3.822
       106     7.798     0.569     0.000     0.673    -3.524     9.308     7.798  1025.318 12823.738    32.961    10.395     0.020     3.899
       107     7.954     0.576     0.000     0.681    -3.551     9.491     7.954  1025.292 12571.967    32.926    10.393     0.020     3.977
       108     8.113     0.583     0.000     0.688    -3.578     9.677     8.113  1025.266 12325.146    32.892    10.391     0.020     4.057
       109     8.276     0.590     0.000     0.696    -3.605     9.866     8.276  1025.241 12083.177    32.859    10.389     0.020     4.138
       110     8.442     0.597     0.000     0.704    -3.633    10.057     8.442  1025.216 11845.965    32.827    10.386     0.020     4.221
       111     8.611     0.605     0.000     0.711    -3.661    10.251     8.611  1025.191 11613.415    32.795    10.384     0.020     4.305
       112     8.783     0.612     0.000     0.719    -3.689    10.449     8.783  1025.167 11385.436    32.764    10.381     0.020     4.392
       113     8.959     0.620     0.000     0.727    -3.718    10.649     8.959  1025.144 11161.937    32.733    10.378     0.020     4.480
       114     9.138     0.627     0.000     0.734    -3.747    10.853     9.138  1025.121 10942.831    32.703    10.375     0.020     4.569
       115     9.321     0.635     0.000     0.742    -3.776    11.059     9.321  1025.099 10728.031    32.673    10.373     0.020     4.661
       116     9.508     0.642     0.000     0.750    -3.806    11.269     9.508  1025.077 10517.452    32.645    10.370     0.020     4.754
       117     9.698     0.650     0.000     0.758    -3.836    11.482     9.698  1025.055 10311.011    32.616    10.367     0.020     4.849
       118     9.893     0.658     0.000     0.766    -3.866    11.699     9.893  1025.034 10108.627    32.588    10.364     0.020     4.946
       119    10.091     0.666     0.000     0.774    -3.897    11.918    10.091  1025.014  9910.219    32.561    10.360     0.020     5.045
       120    10.293     0.674     0.000     0.782    -3.928    12.141    10.293  1024.993  9715.709    32.535    10.357     0.020     5.146
       121    10.499     0.683     0.000     0.790    -3.959    12.368    10.499  1024.974  9525.021    32.508    10.354     0.020     5.249
       122    10.709     0.691     0.000     0.798    -3.991    12.598    10.709  1024.954  9338.080    32.483    10.350     0.020     5.354
       123    10.923     0.699     0.000     0.806    -4.023    12.831    10.923  1024.935  9154.811    32.458    10.347     0.020     5.462
       124    11.142     0.708     0.000     0.815    -4.055    13.068    11.142  1024.917  8975.142    32.433    10.343     0.020     5.571
       125    11.365     0.717     0.000     0.823    -4.088    13.309    11.365  1024.898  8799.003    32.409    10.340     0.020     5.682
       126    11.592     0.725     0.000     0.831    -4.121    13.554    11.592  1024.881  8626.323    32.385    10.336     0.020     5.796
       127    11.824     0.734     0.000     0.840    -4.154    13.802    11.824  1024.863  8457.036    32.362    10.332     0.020     5.912
       128    12.061     0.743     0.000     0.848    -4.188    14.054    12.061  1024.846  8291.074    32.339    10.328     0.020     6.031
       129    12.303     0.752     0.000     0.857    -4.222    14.310    12.303  1024.829  8128.371    32.317    10.324     0.020     6.151
       130    12.549     0.762     0.000     0.866    -4.257    14.570    12.549  1024.813  7968.864    32.295    10.320     0.020     6.274
       131    12.800     0.771     0.000     0.874    -4.292    14.834    12.800  1024.797  7812.490    32.273    10.316     0.020     6.400
       132    13.056     0.780     0.000     0.883    -4.327    15.102    13.056  1024.781  7659.187    32.252    10.312     0.020     6.528
       133    13.318     0.790     0.000     0.892    -4.363    15.375    13.318  1024.766  7508.895    32.232    10.308     0.020     6.659
       134    13.584     0.800     0.000     0.901    -4.399    15.651    13.584  1024.751  7361.554    32.211    10.304     0.020     6.792
       135    13.856     0.810     0.000     0.910    -4.436    15.932    13.856  1024.737  7217.106    32.192    10.299     0.020     6.928
       136    14.133     0.820     0.000     0.919    -4.472    16.217    14.133  1024.722  7075.495    32.172    10.295     0.020     7.067
       137    14.416     0.830     0.000     0.928    -4.510    16.507    14.416  1024.708  6936.665    32.153    10.290     0.020     7.208
       138    14.705     0.840     0.000     0.937    -4.548    16.801    14.705  1024.694  6800.560    32.134    10.285     0.020     7.352
       139    14.999     0.850     0.000     0.947    -4.586    17.100    14.999  1024.681  6667.129    32.116    10.281     0.020     7.499
       140    15.299     0.861     0.000     0.956    -4.624    17.403    15.299  1024.668  6536.317    32.098    10.276     0.020     7.650
       141    15.605     0.871     0.000     0.965    -4.663    17.711    15.605  1024.655  6408.073    32.080    10.271     0.020     7.803
       142    15.918     0.882     0.000     0.975    -4.703    18.024    15.918  1024.642  6282.348    32.063    10.266     0.020     7.959
       143    16.236     0.893     0.000     0.984    -4.743    18.342    16.236  1024.630  6159.090    32.046    10.261     0.020     8.118
       144    16.561     0.904     0.000     0.994    -4.783    18.665    16.561  1024.618  6038.253    32.030    10.256     0.020     8.281
       145    16.892     0.916     0.000     1.004    -4.824    18.993    16.892  1024.606  5919.788    32.013    10.250     0.020     8.446
       146    17.231     0.927     0.000     1.014    -4.865    19.326    17.231  1024.595  5803.648    31.997    10.245     0.020     8.615
       147    17.575     0.938     0.000     1.024    -4.906    19.665    17.575  1024.583  5689.789    31.982    10.240     0.020     8.788
       148    17.927     0.950     0.000     1.034    -4.948    20.008    17.927  1024.572  5578.164    31.967    10.234     0.020     8.964
       149    18.286     0.962     0.000     1.044    -4.991    20.357    18.286  1024.562  5468.731    31.951    10.228     0.020     9.143
       150    18.652     0.974     0.000     1.054    -5.034    20.712    18.652  1024.551  5361.446    31.937    10.223     0.020     9.326
       151    19.025     0.986     0.000     1.065    -5.077    21.072    19.025  1024.541  5256.267    31.922    10.217     0.020     9.512
       152    19.406     0.998     0.000     1.075    -5.121    21.438    19.406  1024.531  5153.153    31.908    10.211     0.020     9.703
       153    19.794     1.011     0.000     1.086    -5.166    21.810    19.794  1024.521  5052.062    31.894    10.205     0.020     9.897
       154    20.190     1.024     0.000     1.096    -5.210    22.188    20.190  1024.511  4952.956    31.881    10.199     0.020    10.095
       155    20.594     1.036     0.000     1.107    -5.256    22.571    20.594  1024.502  4855.794    31.867    10.193     0.020    10.297
       156    21.006     1.049     0.000     1.118    -5.302    22.961    21.006  1024.493  4760.540    31.854    10.187     0.020    10.503
       157    21.426     1.063     0.000     1.129    -5.348    23.357    21.426  1024.484  4667.156    31.841    10.181     0.020    10.713
       158    21.855     1.076     0.000     1.140    -5.395    23.760    21.855  1024.475  4575.604    31.829    10.174     0.020    10.928
       159    22.292     1.090     0.000     1.151    -5.442    24.168    22.292  1024.467  4485.849    31.816    10.168     0.020    11.146
       160    22.738     1.103     0.000     1.163    -5.490    24.584    22.738  1024.458  4397.855    31.804    10.161     0.020    11.369
       161    23.193     1.117     0.000     1.174    -5.538    25.006    23.193  1024.450  4311.589    31.793    10.155     0.020    11.597
       162    23.657     1.131     0.000     1.186    -5.587    25.434    23.657  1024.442  4227.015    31.781    10.148     0.020    11.829
       163    24.131     1.146     0.000     1.197    -5.636    25.870    24.131  1024.435  4144.101    31.770    10.141     0.020    12.065
       164    24.613     1.160     0.000     1.209    -5.686    26.313    24.613  1024.427  4062.815    31.758    10.134     0.020    12.307
       165    25.106     1.175     0.000     1.221    -5.736    26.763    25.106  1024.420  3983.123    31.747    10.127     0.020    12.553
