****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00      1.00      0.00     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth      Time   Net-Dil     P-Den    P-Con.     P-Sal    P-Temp  Amb-Curr    CL-Dil
      Step (FluxAvg)       (m)       (m)       (m)       (m)       (s)        ()   (kg/m3)    (mg/L)     (psu)       (C)     (m/s)        ()
       138    15.025     1.140     1.623     0.929    -9.141     0.280    15.025  1023.365     6.656    29.919     7.651     0.057     7.512
       139    15.325     1.163     1.657     0.949    -9.102     0.292    15.325  1023.396     6.525    29.960     7.658     0.057     7.662
       140    15.631     1.186     1.692     0.969    -9.062     0.303    15.631  1023.427     6.398    30.000     7.664     0.057     7.815
       141    15.943     1.209     1.728     0.989    -9.021     0.316    15.943  1023.457     6.272    30.039     7.671     0.057     7.971
       142    16.261     1.233     1.765     1.010    -8.979     0.328    16.261  1023.486     6.150    30.077     7.677     0.057     8.131
       143    16.586     1.258     1.803     1.031    -8.937     0.341    16.586  1023.515     6.029    30.115     7.684     0.058     8.293
       144    16.917     1.283     1.841     1.053    -8.893     0.355    16.917  1023.543     5.911    30.152     7.690     0.058     8.459
       145    17.255     1.308     1.880     1.075    -8.849     0.369    17.255  1023.570     5.795    30.188     7.696     0.058     8.628
       146    17.600     1.335     1.919     1.097    -8.804     0.384    17.600  1023.597     5.682    30.224     7.702     0.058     8.800
       147    17.951     1.361     1.960     1.120    -8.758     0.400    17.951  1023.624     5.571    30.258     7.708     0.058     8.976
       148    18.310     1.388     2.001     1.143    -8.712     0.416    18.310  1023.650     5.462    30.293     7.713     0.058     9.155
       149    18.676     1.416     2.043     1.167    -8.664     0.432    18.676  1023.675     5.355    30.326     7.719     0.058     9.338
       150    19.049     1.444     2.086     1.191    -8.615     0.449    19.049  1023.700     5.250    30.359     7.725     0.058     9.524
       151    19.429     1.473     2.129     1.216    -8.566     0.467    19.429  1023.724     5.147    30.391     7.730     0.058     9.715
       152    19.817     1.502     2.174     1.241    -8.516     0.486    19.817  1023.748     5.046    30.423     7.735     0.059     9.909
       153    20.213     1.532     2.219     1.267    -8.464     0.506    20.213  1023.772     4.947    30.454     7.740     0.059    10.107
       154    20.617     1.562     2.266     1.293    -8.412     0.526    20.617  1023.795     4.850    30.484     7.746     0.059    10.308
       155    21.029     1.593     2.313     1.320    -8.358     0.547    21.029  1023.818     4.755    30.514     7.751     0.059    10.514
       156    21.449     1.625     2.361     1.347    -8.304     0.569    21.449  1023.840     4.662    30.543     7.755     0.059    10.724
       157    21.877     1.657     2.410     1.375    -8.249     0.591    21.877  1023.861     4.571    30.571     7.760     0.059    10.939
       158    22.315     1.690     2.460     1.403    -8.192     0.615    22.315  1023.883     4.481    30.599     7.765     0.059    11.157
       159    22.760     1.724     2.511     1.431    -8.134     0.639    22.760  1023.904     4.394    30.627     7.770     0.060    11.380
       160    23.215     1.758     2.564     1.461    -8.076     0.665    23.215  1023.924     4.308    30.654     7.774     0.060    11.608
       161    23.679     1.793     2.617     1.491    -8.016     0.691    23.679  1023.944     4.223    30.680     7.779     0.060    11.839
       162    24.152     1.828     2.671     1.521    -7.955     0.719    24.152  1023.964     4.140    30.706     7.783     0.060    12.076
       163    24.635     1.865     2.726     1.552    -7.893     0.747    24.635  1023.983     4.059    30.731     7.787     0.060    12.317
       164    25.127     1.902     2.782     1.583    -7.829     0.777    25.127  1024.002     3.980    30.756     7.791     0.060    12.563
       165    25.629     1.939     2.840     1.616    -7.765     0.808    25.629  1024.020     3.902    30.781     7.795     0.060    12.814
       166    26.141     1.978     2.898     1.648    -7.699     0.840    26.141  1024.039     3.825    30.805     7.799     0.061    13.071
       167    26.663     2.017     2.958     1.682    -7.632     0.873    26.663  1024.056     3.750    30.828     7.803     0.061    13.332
       168    27.196     2.057     3.018     1.716    -7.564     0.908    27.196  1024.074     3.677    30.851     7.807     0.061    13.598
       169    27.740     2.098     3.080     1.750    -7.494     0.944    27.740  1024.091     3.605    30.874     7.811     0.061    13.870
       170    28.294     2.139     3.144     1.786    -7.424     0.982    28.294  1024.108     3.534    30.896     7.815     0.061    14.147
       171    28.859     2.182     3.208     1.822    -7.351     1.020    28.859  1024.124     3.465    30.917     7.818     0.061    14.430
       172    29.436     2.225     3.274     1.858    -7.278     1.061    29.436  1024.140     3.397    30.938     7.822     0.062    14.718
       173    30.024     2.269     3.341     1.895    -7.203     1.103    30.024  1024.156     3.331    30.959     7.825     0.062    15.012
       174    30.624     2.314     3.409     1.933    -7.126     1.146    30.624  1024.172     3.265    30.980     7.829     0.062    15.312
       175    31.236     2.360     3.478     1.972    -7.049     1.192    31.236  1024.187     3.201    31.000     7.832     0.062    15.618
       176    31.861     2.406     3.549     2.012    -6.969     1.239    31.861  1024.202     3.139    31.019     7.835     0.062    15.930
       177    32.497     2.454     3.621     2.052    -6.889     1.288    32.497  1024.216     3.077    31.039     7.839     0.063    16.249
       178    33.147     2.502     3.695     2.093    -6.806     1.339    33.147  1024.231     3.017    31.057     7.842     0.063    16.573
       179    33.809     2.552     3.770     2.134    -6.723     1.391    33.809  1024.245     2.958    31.076     7.845     0.063    16.905
       180    34.485     2.602     3.847     2.177    -6.637     1.446    34.485  1024.258     2.900    31.094     7.848     0.063    17.243
       181    35.174     2.654     3.925     2.220    -6.550     1.503    35.174  1024.272     2.843    31.112     7.851     0.063    17.587
       182    35.877     2.706     4.004     2.264    -6.462     1.562    35.877  1024.285     2.787    31.129     7.854     0.064    17.939
       183    36.594     2.760     4.085     2.309    -6.372     1.624    36.594  1024.298     2.733    31.146     7.857     0.064    18.297
       184    37.326     2.814     4.168     2.354    -6.280     1.688    37.326  1024.311     2.679    31.163     7.860     0.064    18.663
       185    38.072     2.870     4.252     2.401    -6.186     1.754    38.072  1024.323     2.627    31.179     7.862     0.064    19.036
       186    38.833     2.926     4.338     2.448    -6.091     1.823    38.833  1024.336     2.575    31.196     7.865     0.065    19.416
       187    39.609     2.984     4.425     2.496    -5.994     1.894    39.609  1024.347     2.525    31.211     7.868     0.065    19.805
       188    40.401     3.043     4.514     2.545    -5.895     1.968    40.401  1024.359     2.475    31.227     7.870     0.065    20.200
       189    41.208     3.103     4.605     2.595    -5.795     2.045    41.208  1024.371     2.427    31.242     7.873     0.065    20.604
       190    42.032     3.164     4.698     2.646    -5.692     2.125    42.032  1024.382     2.379    31.257     7.875     0.066    21.016
       191    42.872     3.226     4.792     2.697    -5.588     2.208    42.872  1024.393     2.333    31.271     7.878     0.066    21.436
       192    43.729     3.290     4.888     2.750    -5.482     2.295    43.729  1024.404     2.287    31.286     7.880     0.066    21.865
       193    44.603     3.354     4.986     2.803    -5.374     2.384    44.603  1024.415     2.242    31.300     7.882     0.066    22.302
       194    45.495     3.420     5.086     2.858    -5.263     2.477    45.495  1024.425     2.198    31.313     7.885     0.067    22.747
       195    46.404     3.487     5.187     2.913    -5.151     2.574    46.404  1024.435     2.155    31.327     7.887     0.067    23.202
       196    47.332     3.556     5.291     2.970    -5.037     2.674    47.332  1024.445     2.113    31.340     7.889     0.067    23.666
       197    48.278     3.626     5.396     3.027    -4.921     2.778    48.278  1024.455     2.071    31.353     7.891     0.067    24.139
       198    49.243     3.697     5.504     3.086    -4.803     2.886    49.243  1024.465     2.031    31.366     7.894     0.068    24.622
       199    50.228     3.769     5.614     3.145    -4.683     2.997    50.228  1024.474     1.991    31.378     7.896     0.068    25.114
       200    51.232     3.843     5.725     3.205    -4.560     3.114    51.232  1024.483     1.952    31.390     7.898     0.068    25.616
       201    52.256     3.919     5.839     3.267    -4.435     3.234    52.256  1024.492     1.914    31.402     7.900     0.069    26.128
