****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
   317.244   247.696   390.000     2.133     0.312     0.000
   317.810   248.146   391.000     2.139     0.312     0.000
   318.377   248.596   392.000     2.144     0.312     0.000
   318.944   249.046   393.000     2.150     0.310     0.000
   319.512   249.497   394.000     2.156     0.310     0.000
   320.080   249.948   395.000     2.161     0.310     0.000
   320.648   250.399   396.000     2.167     0.310     0.000
   321.217   250.851   397.000     2.172     0.310     0.000
   321.786   251.303   398.000     2.178     0.307     0.000
   322.356   251.755   399.000     2.183     0.307     0.000
   322.926   252.207   400.000     2.189     0.307     0.000
   323.496   252.660   401.000     2.194     0.307     0.000
   324.067   253.113   402.000     2.200     0.307     0.000
   324.638   253.566   403.000     2.205     0.304     0.000
   325.210   254.020   404.000     2.211     0.304     0.000
   325.782   254.473   405.000     2.216     0.304     0.000
   326.355   254.927   406.000     2.222     0.304     0.000
   326.927   255.382   407.000     2.227     0.304     0.000
   327.501   255.836   408.000     2.233     0.302     0.000
   328.074   256.291   409.000     2.238     0.302     0.000
   328.648   256.746   410.000     2.244     0.302     0.000
   329.223   257.202   411.000     2.249     0.302     0.000
   329.798   257.657   412.000     2.255     0.302     0.000
   330.373   258.113   413.000     2.261     0.299     0.000
   330.948   258.569   414.000     2.266     0.299     0.000
   331.524   259.026   415.000     2.272     0.299     0.000
   332.101   259.483   416.000     2.277     0.299     0.000
   332.677   259.940   417.000     2.283     0.299     0.000
   333.255   260.397   418.000     2.288     0.297     0.000
   333.832   260.854   419.000     2.294     0.297     0.000
   334.410   261.312   420.000     2.299     0.297     0.000
   334.988   261.770   421.000     2.305     0.297     0.000
   335.567   262.229   422.000     2.310     0.297     0.000
   336.146   262.687   423.000     2.316     0.294     0.000
   336.726   263.146   424.000     2.321     0.294     0.000
   337.306   263.605   425.000     2.327     0.294     0.000
   337.886   264.065   426.000     2.332     0.294     0.000
   338.467   264.525   427.000     2.338     0.294     0.000
   339.048   264.985   428.000     2.343     0.292     0.000
   339.629   265.445   429.000     2.349     0.292     0.000
   340.211   265.905   430.000     2.355     0.292     0.000
   340.793   266.366   431.000     2.360     0.292     0.000
   341.376   266.827   432.000     2.366     0.289     0.000
   341.959   267.288   433.000     2.371     0.289     0.000
   342.542   267.750   434.000     2.377     0.289     0.000
   343.126   268.212   435.000     2.382     0.289     0.000
   343.710   268.674   436.000     2.388     0.289     0.000
   344.294   269.136   437.000     2.393     0.287     0.000
   344.879   269.599   438.000     2.399     0.287     0.000
   345.464   270.062   439.000     2.404     0.287     0.000
   346.050   270.525   440.000     2.410     0.287     0.000
   346.636   270.989   441.000     2.415     0.287     0.000
   347.222   271.452   442.000     2.421     0.285     0.000
   347.809   271.916   443.000     2.426     0.285     0.000
   348.396   272.381   444.000     2.432     0.285     0.000
   348.984   272.845   445.000     2.437     0.285     0.000
   349.571   273.310   446.000     2.443     0.285     0.000
   350.160   273.775   447.000     2.448     0.282     0.000
   350.748   274.240   448.000     2.454     0.282     0.000
   351.337   274.706   449.000     2.460     0.282     0.000
   351.927   275.172   450.000     2.465     0.282     0.000
   352.516   275.638   451.000     2.471     0.282     0.000
   353.106   276.104   452.000     2.476     0.280     0.000
   353.697   276.571   453.000     2.482     0.280     0.000
   354.288   277.038   454.000     2.487     0.280     0.000
   354.879   277.505   455.000     2.493     0.280     0.000
   355.471   277.972   456.000     2.498     0.280     0.000
   356.062   278.440   457.000     2.504     0.278     0.000
   356.655   278.908   458.000     2.509     0.278     0.000
   357.248   279.376   459.000     2.515     0.278     0.000
   357.841   279.845   460.000     2.520     0.278     0.000
   358.434   280.314   461.000     2.526     0.278     0.000
   359.028   280.783   462.000     2.531     0.276     0.000
   359.622   281.252   463.000     2.537     0.276     0.000
   360.217   281.722   464.000     2.542     0.276     0.000
   360.811   282.191   465.000     2.548     0.276     0.000
   361.407   282.661   466.000     2.554     0.276     0.000
   362.002   283.132   467.000     2.559     0.273     0.000
   362.598   283.602   468.000     2.565     0.273     0.000
   363.195   284.073   469.000     2.570     0.273     0.000
   363.791   284.544   470.000     2.576     0.273     0.000
   364.388   285.016   471.000     2.581     0.273     0.000
   364.986   285.487   472.000     2.587     0.271     0.000
   365.584   285.959   473.000     2.592     0.271     0.000
   366.182   286.432   474.000     2.598     0.271     0.000
   366.780   286.904   475.000     2.603     0.271     0.000
   367.379   287.377   476.000     2.609     0.269     0.000
   367.979   287.850   477.000     2.614     0.269     0.000
   368.578   288.323   478.000     2.620     0.269     0.000
   369.178   288.796   479.000     2.625     0.269     0.000
   369.779   289.270   480.000     2.631     0.269     0.000
   370.379   289.744   481.000     2.636     0.267     0.000
   370.980   290.218   482.000     2.642     0.267     0.000
   371.582   290.693   483.000     2.648     0.267     0.000
   372.183   291.168   484.000     2.653     0.267     0.000
   372.786   291.643   485.000     2.659     0.267     0.000
   373.388   292.118   486.000     2.664     0.265     0.000
   373.991   292.594   487.000     2.670     0.265     0.000
   374.594   293.070   488.000     2.675     0.265     0.000
   375.198   293.546   489.000     2.681     0.265     0.000
   375.802   294.022   490.000     2.686     0.265     0.000
   376.406   294.499   491.000     2.692     0.263     0.000
   377.011   294.976   492.000     2.697     0.263     0.000
   377.616   295.453   493.000     2.703     0.263     0.000
   378.221   295.930   494.000     2.708     0.263     0.000
   378.827   296.408   495.000     2.714     0.263     0.000
   379.433   296.886   496.000     2.719     0.261     0.000
   380.039   297.364   497.000     2.725     0.261     0.000
   380.646   297.842   498.000     2.730     0.261     0.000
   381.253   298.321   499.000     2.736     0.261     0.000
   381.860   298.800   500.000     2.742     0.261     0.000
   382.074   298.969   500.352     2.743     0.259     0.000
