****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
        56     2.981     0.224     0.222     0.126   -10.747     1.490     0.053     6.228    21.443    33.547  1016.888     2.981     0.168
        57     3.040     0.228     0.229     0.129   -10.740     1.520     0.053     6.263    21.650    32.894  1017.047     3.040     0.175
        58     3.100     0.233     0.235     0.133   -10.732     1.550     0.053     6.297    21.853    32.254  1017.203     3.100     0.183
        59     3.162     0.237     0.242     0.137   -10.725     1.581     0.053     6.331    22.052    31.627  1017.356     3.162     0.191
        60     3.225     0.242     0.249     0.141   -10.717     1.612     0.053     6.363    22.247    31.011  1017.506     3.225     0.199
        61     3.289     0.247     0.256     0.145   -10.709     1.644     0.053     6.395    22.438    30.407  1017.653     3.289     0.208
        62     3.354     0.251     0.263     0.148   -10.701     1.677     0.053     6.427    22.626    29.815  1017.797     3.354     0.217
        63     3.421     0.256     0.271     0.153   -10.693     1.710     0.053     6.458    22.809    29.235  1017.938     3.421     0.226
        64     3.489     0.261     0.278     0.157   -10.684     1.744     0.053     6.488    22.990    28.665  1018.076     3.489     0.235
        65     3.558     0.266     0.286     0.161   -10.676     1.779     0.053     6.518    23.166    28.107  1018.211     3.558     0.245
        66     3.629     0.272     0.294     0.165   -10.667     1.814     0.053     6.547    23.340    27.560  1018.344     3.629     0.256
        67     3.701     0.277     0.302     0.169   -10.658     1.850     0.053     6.575    23.509    27.023  1018.474     3.701     0.266
        68     3.774     0.282     0.310     0.174   -10.649     1.887     0.053     6.603    23.676    26.496  1018.602     3.774     0.278
        69     3.849     0.288     0.318     0.178   -10.640     1.925     0.053     6.630    23.839    25.980  1018.727     3.849     0.289
        70     3.926     0.293     0.326     0.183   -10.631     1.963     0.053     6.657    23.999    25.473  1018.850     3.926     0.301
        71     4.004     0.299     0.335     0.187   -10.621     2.002     0.053     6.684    24.156    24.977  1018.970     4.004     0.314
        72     4.083     0.305     0.343     0.192   -10.612     2.042     0.053     6.709    24.310    24.490  1019.087     4.083     0.327
        73     4.164     0.311     0.352     0.197   -10.602     2.082     0.053     6.735    24.461    24.013  1019.203     4.164     0.340
        74     4.247     0.317     0.361     0.202   -10.592     2.124     0.053     6.760    24.608    23.544  1019.316     4.247     0.354
        75     4.332     0.323     0.370     0.207   -10.582     2.166     0.054     6.784    24.753    23.085  1019.427     4.332     0.368
        76     4.418     0.329     0.380     0.212   -10.571     2.209     0.054     6.808    24.895    22.635  1019.535     4.418     0.383
        77     4.506     0.335     0.389     0.217   -10.561     2.253     0.054     6.831    25.035    22.193  1019.642     4.506     0.399
        78     4.595     0.342     0.399     0.222   -10.550     2.298     0.054     6.854    25.171    21.760  1019.746     4.595     0.415
        79     4.687     0.349     0.409     0.227   -10.539     2.343     0.054     6.877    25.305    21.336  1019.849     4.687     0.431
        80     4.780     0.355     0.419     0.233   -10.528     2.390     0.054     6.899    25.436    20.920  1019.949     4.780     0.449
        81     4.875     0.362     0.429     0.238   -10.517     2.438     0.054     6.920    25.565    20.511  1020.047     4.875     0.467
        82     4.972     0.369     0.440     0.244   -10.505     2.486     0.054     6.941    25.691    20.111  1020.144     4.972     0.485
        83     5.071     0.376     0.450     0.249   -10.493     2.536     0.054     6.962    25.815    19.719  1020.238     5.071     0.505
        84     5.172     0.383     0.461     0.255   -10.481     2.586     0.054     6.982    25.936    19.334  1020.331     5.172     0.525
        85     5.275     0.391     0.472     0.261   -10.469     2.638     0.054     7.002    26.055    18.956  1020.422     5.275     0.545
        86     5.380     0.398     0.483     0.267   -10.457     2.690     0.054     7.022    26.172    18.586  1020.511     5.380     0.567
        87     5.487     0.406     0.495     0.273   -10.444     2.744     0.054     7.041    26.286    18.223  1020.598     5.487     0.589
        88     5.597     0.414     0.506     0.279   -10.431     2.798     0.054     7.060    26.398    17.868  1020.684     5.597     0.612
        89     5.708     0.422     0.518     0.285   -10.418     2.854     0.054     7.078    26.508    17.519  1020.767     5.708     0.636
        90     5.822     0.430     0.530     0.292   -10.405     2.911     0.054     7.096    26.616    17.177  1020.850     5.822     0.661
        91     5.938     0.438     0.542     0.298   -10.392     2.969     0.054     7.114    26.721    16.841  1020.930     5.938     0.686
        92     6.056     0.446     0.555     0.305   -10.378     3.028     0.054     7.132    26.825    16.512  1021.009     6.056     0.713
        93     6.177     0.455     0.567     0.311   -10.364     3.088     0.054     7.149    26.926    16.190  1021.087     6.177     0.740
        94     6.300     0.463     0.580     0.318   -10.350     3.150     0.054     7.165    27.026    15.873  1021.162     6.300     0.769
        95     6.425     0.472     0.594     0.325   -10.335     3.213     0.054     7.182    27.123    15.563  1021.237     6.425     0.798
        96     6.553     0.481     0.607     0.332   -10.320     3.277     0.054     7.198    27.219    15.259  1021.310     6.553     0.829
        97     6.684     0.490     0.620     0.339   -10.305     3.342     0.054     7.213    27.313    14.961  1021.381     6.684     0.860
        98     6.817     0.499     0.634     0.346   -10.290     3.409     0.054     7.229    27.404    14.669  1021.451     6.817     0.893
        99     6.953     0.509     0.648     0.353   -10.275     3.477     0.054     7.244    27.495    14.382  1021.520     6.953     0.927
       100     7.092     0.518     0.663     0.360   -10.259     3.546     0.054     7.259    27.583    14.101  1021.587     7.092     0.962
       101     7.233     0.528     0.677     0.368   -10.243     3.617     0.054     7.273    27.670    13.825  1021.653     7.233     0.998
       102     7.377     0.538     0.692     0.375   -10.226     3.689     0.054     7.288    27.754    13.555  1021.718     7.377     1.036
       103     7.524     0.548     0.707     0.383   -10.210     3.762     0.054     7.302    27.838    13.290  1021.782     7.524     1.075
       104     7.674     0.558     0.723     0.391   -10.193     3.837     0.054     7.315    27.919    13.030  1021.844     7.674     1.115
       105     7.827     0.569     0.738     0.399   -10.176     3.914     0.055     7.329    27.999    12.776  1021.905     7.827     1.157
       106     7.983     0.579     0.754     0.407   -10.158     3.992     0.055     7.342    28.078    12.526  1021.964     7.983     1.200
       107     8.143     0.590     0.770     0.415   -10.140     4.071     0.055     7.355    28.155    12.281  1022.023     8.143     1.244
       108     8.305     0.601     0.787     0.423   -10.122     4.153     0.055     7.367    28.230    12.041  1022.080     8.305     1.290
       109     8.471     0.612     0.803     0.432   -10.104     4.235     0.055     7.380    28.304    11.805  1022.137     8.471     1.338
       110     8.640     0.624     0.820     0.440   -10.085     4.320     0.055     7.392    28.376    11.575  1022.192     8.640     1.387
       111     8.812     0.635     0.838     0.449   -10.066     4.406     0.055     7.404    28.448    11.348  1022.246     8.812     1.438
       112     8.988     0.647     0.855     0.457   -10.047     4.494     0.055     7.416    28.517    11.126  1022.299     8.988     1.490
       113     9.167     0.659     0.873     0.466   -10.027     4.584     0.055     7.427    28.585    10.909  1022.351     9.167     1.545
       114     9.350     0.671     0.891     0.475   -10.007     4.675     0.055     7.438    28.652    10.695  1022.402     9.350     1.601
       115     9.536     0.683     0.910     0.484    -9.987     4.768     0.055     7.449    28.718    10.486  1022.452     9.536     1.659
       116     9.727     0.696     0.928     0.493    -9.966     4.863     0.055     7.460    28.782    10.281  1022.501     9.727     1.719
       117     9.921     0.708     0.948     0.502    -9.945     4.960     0.055     7.471    28.846    10.080  1022.549     9.921     1.781
       118    10.119     0.721     0.967     0.512    -9.923     5.059     0.055     7.481    28.907     9.883  1022.596    10.119     1.845
       119    10.321     0.734     0.987     0.521    -9.902     5.160     0.055     7.491    28.968     9.689  1022.642    10.321     1.911
       120    10.527     0.747     1.007     0.531    -9.879     5.263     0.055     7.501    29.027     9.500  1022.687    10.527     1.979
       121    10.737     0.761     1.027     0.541    -9.857     5.368     0.055     7.511    29.086     9.314  1022.732    10.737     2.050
       122    10.951     0.775     1.047     0.550    -9.834     5.475     0.055     7.521    29.143     9.132  1022.775    10.951     2.122
       123    11.169     0.789     1.068     0.560    -9.811     5.585     0.055     7.530    29.199     8.953  1022.818    11.169     2.197
       124    11.392     0.803     1.090     0.571    -9.787     5.696     0.055     7.539    29.254     8.778  1022.860    11.392     2.275
       125    11.620     0.817     1.111     0.581    -9.763     5.810     0.056     7.548    29.308     8.606  1022.901    11.620     2.355
       126    11.852     0.832     1.133     0.591    -9.738     5.926     0.056     7.557    29.360     8.438  1022.941    11.852     2.437
       127    12.088     0.846     1.156     0.601    -9.713     6.044     0.056     7.566    29.412     8.272  1022.980    12.088     2.522
       128    12.330     0.861     1.178     0.612    -9.688     6.165     0.056     7.574    29.463     8.111  1023.019    12.330     2.610
       129    12.576     0.877     1.201     0.623    -9.662     6.288     0.056     7.583    29.513     7.952  1023.057    12.576     2.700
       130    12.827     0.892     1.225     0.633    -9.636     6.413     0.056     7.591    29.561     7.796  1023.094    12.827     2.793
       131    13.083     0.908     1.248     0.644    -9.609     6.541     0.056     7.599    29.609     7.644  1023.130    13.083     2.890
       132    13.344     0.923     1.272     0.655    -9.582     6.672     0.056     7.607    29.656     7.494  1023.166    13.344     2.989
       133    13.610     0.940     1.297     0.666    -9.555     6.805     0.056     7.614    29.702     7.347  1023.201    13.610     3.090
       134    13.882     0.956     1.321     0.678    -9.527     6.941     0.056     7.622    29.747     7.203  1023.235    13.882     3.195
       135    14.159     0.972     1.346     0.689    -9.499     7.080     0.056     7.629    29.791     7.062  1023.269    14.159     3.303
