****************************************************************************************************
----------------------------------------------------------------------------------------------------
Ambient Table:
     Depth   Amb-cur   Amb-dir   Amb-sal   Amb-tem   Amb-pol     Decay   Far-spd   Far-dir   Disprsn
       (m)     (m/s)     (deg)     (psu)       (C)    (mg/L)   (1/day)     (m/s)     (deg)(m0.67/s2)
     0.000     0.090     0.000    32.000    14.000     0.000     0.000     0.050     0.000   0.00030
     2.000     0.085     0.000    32.000    12.000     0.000     0.000     0.050     0.000   0.00030
     4.000     0.070     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     6.000     0.065     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
     8.000     0.060     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    10.000     0.055     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
    12.000     0.050     0.000    32.000     8.000     0.000     0.000     0.050     0.000   0.00030
----------------------------------------------------------------------------------------------------
Diffuser Table:
     P-dia    P-elev   V-angle   H-angle     Ports   Spacing   AcuteMZ   ChrncMZ   P-depth   Ttl-flo   Eff-sal      Temp   Polutnt
       (m)       (m)     (deg)     (deg)       ( )       (m)       (m)       (m)       (m)     (MGD)     (psu)       (C)    (mg/L)
      0.08      0.31     45.00     30.00     18.00      6.10     10.20    102.00     11.00      8.00      0.00      2.63    100.00
----------------------------------------------------------------------------------------------------
Simulation Results:
              Dilutn     P-dia    x-posn    y-posn     Depth    CL-Dil  Amb-Curr    P-Temp     P-Sal    P-Con.     P-Den   Net-Dil      Time
      Step (FluxAvg)       (m)       (m)       (m)       (m)        ()     (m/s)       (C)     (psu)    (mg/L)   (kg/m3)        ()       (s)
   265.467   234.757   324.000     1.754     0.374     0.000
   265.947   235.199   325.000     1.759     0.371     0.000
   266.428   235.641   326.000     1.765     0.371     0.000
   266.909   236.083   327.000     1.771     0.371     0.000
   267.390   236.526   328.000     1.776     0.371     0.000
   267.872   236.969   329.000     1.782     0.371     0.000
   268.354   237.412   330.000     1.787     0.367     0.000
   268.837   237.856   331.000     1.793     0.367     0.000
   269.320   238.300   332.000     1.798     0.367     0.000
   269.803   238.744   333.000     1.804     0.367     0.000
   270.287   239.189   334.000     1.809     0.367     0.000
   270.772   239.633   335.000     1.815     0.364     0.000
   271.256   240.078   336.000     1.820     0.364     0.000
   271.742   240.524   337.000     1.826     0.364     0.000
   272.227   240.969   338.000     1.831     0.364     0.000
   272.713   241.415   339.000     1.837     0.361     0.000
   273.200   241.861   340.000     1.842     0.361     0.000
   273.687   242.307   341.000     1.848     0.361     0.000
   274.174   242.754   342.000     1.853     0.361     0.000
   274.662   243.201   343.000     1.859     0.361     0.000
   275.150   243.648   344.000     1.864     0.358     0.000
   275.639   244.096   345.000     1.870     0.358     0.000
   276.127   244.543   346.000     1.876     0.358     0.000
   276.617   244.991   347.000     1.881     0.358     0.000
   277.107   245.440   348.000     1.887     0.358     0.000
   277.597   245.888   349.000     1.892     0.355     0.000
   278.088   246.337   350.000     1.898     0.355     0.000
   278.579   246.786   351.000     1.903     0.355     0.000
   279.070   247.236   352.000     1.909     0.355     0.000
   279.562   247.685   353.000     1.914     0.355     0.000
   280.054   248.135   354.000     1.920     0.352     0.000
   280.547   248.586   355.000     1.925     0.352     0.000
   281.040   249.036   356.000     1.931     0.352     0.000
   281.533   249.487   357.000     1.936     0.352     0.000
   282.027   249.938   358.000     1.942     0.352     0.000
   282.521   250.389   359.000     1.947     0.349     0.000
   283.016   250.841   360.000     1.953     0.349     0.000
   283.511   251.293   361.000     1.958     0.349     0.000
   284.006   251.745   362.000     1.964     0.349     0.000
   284.502   252.197   363.000     1.969     0.349     0.000
   284.999   252.650   364.000     1.975     0.346     0.000
   285.495   253.103   365.000     1.981     0.346     0.000
   285.992   253.556   366.000     1.986     0.346     0.000
   286.490   254.010   367.000     1.992     0.346     0.000
   286.987   254.464   368.000     1.997     0.346     0.000
   287.486   254.918   369.000     2.003     0.343     0.000
   287.984   255.372   370.000     2.008     0.343     0.000
   288.483   255.827   371.000     2.014     0.343     0.000
   288.982   256.281   372.000     2.019     0.343     0.000
   289.482   256.737   373.000     2.025     0.343     0.000
   289.982   257.192   374.000     2.030     0.340     0.000
   290.483   257.648   375.000     2.036     0.340     0.000
   290.984   258.104   376.000     2.041     0.340     0.000
   291.485   258.560   377.000     2.047     0.340     0.000
   291.986   259.016   378.000     2.052     0.340     0.000
   292.488   259.473   379.000     2.058     0.338     0.000
   292.991   259.930   380.000     2.063     0.338     0.000
   293.494   260.387   381.000     2.069     0.338     0.000
   293.997   260.845   382.000     2.074     0.338     0.000
   294.500   261.303   383.000     2.080     0.335     0.000
   295.004   261.761   384.000     2.086     0.335     0.000
   295.508   262.219   385.000     2.091     0.335     0.000
   296.013   262.678   386.000     2.097     0.335     0.000
   296.518   263.137   387.000     2.102     0.335     0.000
   297.023   263.596   388.000     2.108     0.332     0.000
   297.529   264.056   389.000     2.113     0.332     0.000
   298.035   264.515   390.000     2.119     0.332     0.000
   298.542   264.975   391.000     2.124     0.332     0.000
   299.049   265.436   392.000     2.130     0.332     0.000
   299.556   265.896   393.000     2.135     0.329     0.000
   300.064   266.357   394.000     2.141     0.329     0.000
   300.571   266.818   395.000     2.146     0.329     0.000
   301.080   267.279   396.000     2.152     0.329     0.000
   301.588   267.741   397.000     2.157     0.329     0.000
   302.098   268.203   398.000     2.163     0.327     0.000
   302.607   268.665   399.000     2.168     0.327     0.000
   303.117   269.127   400.000     2.174     0.327     0.000
   303.627   269.590   401.000     2.180     0.327     0.000
   304.137   270.053   402.000     2.185     0.327     0.000
   304.648   270.516   403.000     2.191     0.324     0.000
   305.159   270.980   404.000     2.196     0.324     0.000
   305.671   271.443   405.000     2.202     0.324     0.000
   306.183   271.908   406.000     2.207     0.324     0.000
   306.695   272.372   407.000     2.213     0.324     0.000
   307.208   272.836   408.000     2.218     0.321     0.000
   307.721   273.301   409.000     2.224     0.321     0.000
   308.234   273.766   410.000     2.229     0.321     0.000
   308.748   274.232   411.000     2.235     0.321     0.000
   309.262   274.697   412.000     2.240     0.321     0.000
   309.776   275.163   413.000     2.246     0.319     0.000
   310.291   275.629   414.000     2.251     0.319     0.000
   310.806   276.096   415.000     2.257     0.319     0.000
   311.322   276.562   416.000     2.262     0.319     0.000
   311.838   277.029   417.000     2.268     0.319     0.000
   312.354   277.496   418.000     2.273     0.316     0.000
   312.870   277.964   419.000     2.279     0.316     0.000
   313.387   278.432   420.000     2.285     0.316     0.000
   313.904   278.900   421.000     2.290     0.316     0.000
   314.422   279.368   422.000     2.296     0.316     0.000
   314.940   279.836   423.000     2.301     0.314     0.000
   315.458   280.305   424.000     2.307     0.314     0.000
   315.977   280.774   425.000     2.312     0.314     0.000
   316.496   281.243   426.000     2.318     0.314     0.000
   317.015   281.713   427.000     2.323     0.311     0.000
   317.535   282.183   428.000     2.329     0.311     0.000
   318.055   282.653   429.000     2.334     0.311     0.000
   318.575   283.123   430.000     2.340     0.311     0.000
   319.096   283.594   431.000     2.345     0.311     0.000
   319.617   284.065   432.000     2.351     0.309     0.000
   320.138   284.536   433.000     2.356     0.309     0.000
   320.660   285.007   434.000     2.362     0.309     0.000
   321.182   285.479   435.000     2.367     0.309     0.000
   321.704   285.951   436.000     2.373     0.309     0.000
   322.227   286.423   437.000     2.379     0.307     0.000
   322.750   286.896   438.000     2.384     0.307     0.000
   323.273   287.368   439.000     2.390     0.307     0.000
   323.797   287.841   440.000     2.395     0.307     0.000
   324.321   288.315   441.000     2.401     0.307     0.000
   324.845   288.788   442.000     2.406     0.304     0.000
   325.370   289.262   443.000     2.412     0.304     0.000
   325.895   289.736   444.000     2.417     0.304     0.000
   326.421   290.210   445.000     2.423     0.304     0.000
   326.946   290.685   446.000     2.428     0.304     0.000
   327.472   291.160   447.000     2.434     0.302     0.000
   327.999   291.635   448.000     2.439     0.302     0.000
   328.526   292.110   449.000     2.445     0.302     0.000
   329.053   292.586   450.000     2.450     0.302     0.000
   329.580   293.061   451.000     2.456     0.302     0.000
   330.108   293.538   452.000     2.461     0.299     0.000
   330.636   294.014   453.000     2.467     0.299     0.000
   331.164   294.491   454.000     2.473     0.299     0.000
   331.693   294.967   455.000     2.478     0.299     0.000
   332.222   295.445   456.000     2.484     0.299     0.000
   332.751   295.922   457.000     2.489     0.297     0.000
   333.281   296.400   458.000     2.495     0.297     0.000
   333.811   296.878   459.000     2.500     0.297     0.000
   334.342   297.356   460.000     2.506     0.297     0.000
   334.872   297.834   461.000     2.511     0.297     0.000
   335.403   298.313   462.000     2.517     0.295     0.000
   335.935   298.792   463.000     2.522     0.295     0.000
   336.466   299.271   464.000     2.528     0.295     0.000
   336.998   299.751   465.000     2.533     0.295     0.000
   337.531   300.230   466.000     2.539     0.293     0.000
   338.063   300.710   467.000     2.544     0.293     0.000
   338.596   301.191   468.000     2.550     0.293     0.000
   339.130   301.671   469.000     2.555     0.293     0.000
   339.663   302.152   470.000     2.561     0.293     0.000
   340.197   302.633   471.000     2.567     0.290     0.000
   340.731   303.114   472.000     2.572     0.290     0.000
   341.266   303.596   473.000     2.578     0.290     0.000
   341.801   304.077   474.000     2.583     0.290     0.000
   342.336   304.560   475.000     2.589     0.290     0.000
   342.872   305.042   476.000     2.594     0.288     0.000
   343.407   305.524   477.000     2.600     0.288     0.000
   343.944   306.007   478.000     2.605     0.288     0.000
   344.480   306.490   479.000     2.611     0.288     0.000
   345.017   306.974   480.000     2.616     0.288     0.000
   345.554   307.457   481.000     2.622     0.286     0.000
   346.092   307.941   482.000     2.627     0.286     0.000
   346.629   308.425   483.000     2.633     0.286     0.000
   347.167   308.909   484.000     2.638     0.286     0.000
   347.706   309.394   485.000     2.644     0.286     0.000
   348.245   309.879   486.000     2.649     0.284     0.000
   348.784   310.364   487.000     2.655     0.284     0.000
   349.323   310.849   488.000     2.661     0.284     0.000
   349.863   311.335   489.000     2.666     0.284     0.000
   350.403   311.821   490.000     2.672     0.284     0.000
   350.943   312.307   491.000     2.677     0.282     0.000
   351.484   312.794   492.000     2.683     0.282     0.000
   352.024   313.280   493.000     2.688     0.282     0.000
   352.566   313.767   494.000     2.694     0.282     0.000
   353.107   314.254   495.000     2.699     0.282     0.000
   353.649   314.742   496.000     2.705     0.280     0.000
   354.191   315.229   497.000     2.710     0.280     0.000
   354.734   315.717   498.000     2.716     0.280     0.000
   355.277   316.205   499.000     2.721     0.280     0.000
   355.820   316.694   500.000     2.727     0.280     0.000
   355.897   316.763   500.142     2.728     0.278     0.000
